Mol. wt.,CRC Vc /(cm3 mol-1)
60.052000000000014,171.0
41.053,173.0
26.038,119.0
40.06500000000001,167.0
57.09600000000002,217.0
169.2270000000001,548.0
104.15299999999992,340.0
108.13999999999994,355.0
136.15000000000006,372.0
150.22100000000012,493.0
178.2310000000001,526.0
136.19400000000005,450.0
182.2220000000001,568.0
108.13999999999994,333.0
138.25400000000005,497.0
103.16899999999994,350.0
390.56399999999945,1495.0
165.364,229.0
108.96599999999997,214.0
175.0,337.0
122.99299999999997,271.0
225.00700000000003,415.0
225.00700000000003,413.0
72.10699999999996,258.0
88.15399999999995,317.0
90.12199999999994,302.0
69.10699999999997,265.0
88.10599999999995,292.0
74.12299999999995,269.0
56.10800000000002,236.0
56.10800000000002,238.0
160.21300000000014,551.0
116.15999999999993,403.0
116.15999999999994,399.0
73.13899999999995,291.0
73.13899999999995,293.0
134.222,488.0
178.2310000000001,594.0
140.27000000000007,547.0
102.17699999999992,394.0
130.18699999999995,464.0
86.08999999999997,246.0
100.495,230.0
86.468,165.0
62.49900000000001,171.0
130.549,324.0
134.65,492.0
50.48800000000001,136.0
92.56899999999996,308.0
182.475,277.0
154.465,255.0
78.54199999999997,268.0
136.47500000000002,244.0
118.485,232.0
104.458,180.3
108.13999999999994,337.0
52.036,149.0
84.16199999999994,307.0
98.14499999999994,354.0
99.17699999999994,349.0
70.13499999999998,264.0
84.11799999999995,276.0
42.08100000000002,164.0
138.25400000000005,492.0
156.26900000000018,601.0
172.31600000000023,654.0
172.26800000000017,638.0
158.2850000000002,643.0
158.2850000000002,646.0
156.26900000000018,628.0
140.27000000000007,594.0
168.19500000000005,494.0
359.8359999999999,452.0
190.33000000000013,732.0
278.3479999999996,954.0
147.00400000000002,364.0
98.95999999999998,248.0
96.944,220.0
116.95,253.7
220.927,365.0
112.98699999999998,292.0
170.92,294.0
152.93000000000004,283.2
446.67199999999934,1807.0
118.17599999999992,432.0
73.13899999999995,304.0
106.12099999999994,325.0
134.175,450.0
204.26600000000016,627.0
176.21200000000013,524.0
148.20200000000014,495.0
146.14200000000008,464.0
174.1960000000001,567.0
114.09399999999998,290.0
114.09399999999998,297.0
64.034,155.0
150.04600000000002,291.0
334.4559999999995,1061.0
129.24699999999993,518.0
162.27600000000015,610.0
90.12199999999994,305.0
104.14899999999994,360.0
121.18299999999992,407.0
86.17799999999993,358.0
84.16199999999994,346.0
84.16199999999994,344.0
112.21599999999992,434.0
46.06900000000002,171.0
128.2589999999999,546.0
114.2319999999999,481.0
114.2319999999999,480.0
114.2319999999999,450.0
174.1960000000001,561.0
156.2280000000001,515.0
118.08799999999997,315.0
100.20499999999991,409.0
100.20499999999991,415.0
98.18899999999992,400.0
194.1860000000001,557.0
107.15599999999996,363.0
107.15599999999992,353.0
107.15599999999996,369.0
230.30400000000017,695.0
62.137000000000015,201.0
390.56399999999945,1510.0
306.40199999999953,957.0
101.19299999999993,414.0
250.29400000000007,816.0
310.6099999999991,1434.0
326.6089999999991,1243.0
200.37000000000023,765.0
202.40700000000024,726.0
186.33900000000023,805.0
168.3240000000002,710.0
312.5379999999992,1346.0
184.491,343.0
60.100000000000016,204.0
146.14200000000008,457.0
46.06900000000002,169.0
122.16699999999992,407.0
132.159,443.0
116.20399999999992,448.0
88.10599999999995,288.0
45.085000000000015,183.0
106.16799999999994,365.0
150.17700000000008,470.0
116.15999999999993,421.0
114.14399999999992,382.0
112.21599999999992,431.0
98.18899999999992,377.0
130.18699999999995,461.0
28.053999999999995,130.9
146.18600000000012,478.0
158.24100000000016,587.0
114.2319999999999,450.0
144.21400000000014,528.0
144.21400000000014,543.0
130.23099999999994,508.0
172.26800000000017,644.0
130.18699999999995,463.0
60.09600000000002,219.0
114.2319999999999,442.0
114.2319999999999,463.0
116.15999999999993,421.0
76.16399999999996,260.0
186.2950000000002,715.0
172.26800000000017,657.0
100.20499999999991,412.0
130.18699999999995,466.0
122.16699999999992,388.0
122.16699999999992,393.0
122.16699999999992,395.0
102.13299999999995,343.0
88.14999999999995,343.0
104.17399999999996,320.0
120.19499999999992,446.0
72.10699999999996,262.0
96.10399999999996,272.0
48.06000000000001,164.0
34.03300000000001,112.4
110.13099999999996,323.0
110.13099999999996,332.0
110.13099999999996,332.0
68.07499999999997,218.0
92.09399999999997,251.0
296.58299999999923,1366.0
240.4750000000003,1081.0
270.4569999999999,1130.0
256.4740000000003,1097.0
238.4590000000003,1053.0
200.053,382.0
170.027,299.0
114.18799999999992,434.0
115.21999999999991,455.0
100.20499999999991,428.0
160.1690000000001,463.0
130.18699999999995,476.0
116.20399999999992,430.0
116.20399999999992,442.0
116.20399999999992,451.0
116.20399999999992,455.0
114.18799999999992,436.0
114.18799999999992,433.0
114.18799999999992,434.0
98.18899999999992,409.0
98.18899999999992,410.0
98.18899999999992,410.0
98.18899999999992,411.0
176.30300000000017,680.0
366.7179999999991,1740.0
226.4480000000003,1009.0
256.43000000000023,1059.0
242.4470000000003,1019.0
224.43200000000027,986.0
208.057,313.0
186.054,337.0
138.01000000000002,223.0
152.037,270.0
152.037,262.0
162.27600000000015,581.0
422.826,2060.0
100.16099999999992,378.0
86.17799999999993,366.0
116.20799999999991,446.0
146.14200000000008,449.0
118.17599999999992,404.0
97.16099999999994,378.0
116.15999999999993,413.0
102.17699999999992,381.0
100.16099999999992,377.0
