Mol. wt.,JR Pc /Bars,CRC Pc /Bars
41.053,48.56195898942562,48.8
57.09600000000002,50.51400526052851,48.3
105.13699999999994,46.27701420704337,48.8
93.12899999999996,50.58588572850757,53.0
103.16899999999994,45.96380350474002,44.3
88.15399999999995,45.16418083015378,45.0
73.13899999999995,41.893151517055735,42.0
73.13899999999995,42.942856799314285,38.5
99.17699999999994,42.60714845693951,39.0
129.24699999999993,25.68891900771926,31.1
129.24699999999993,26.110690003705106,32.0
45.085000000000015,51.23977190103139,53.4
107.15599999999996,40.41499735887993,40.3
107.15599999999996,40.41499735887993,41.1
107.15599999999996,40.41499735887993,40.6
107.15599999999996,40.41499735887993,38.4
157.2160000000001,33.52859268090939,32.7
101.19299999999993,31.52623882,36.0
200.37000000000023,19.64815653,20.0
60.100000000000016,59.537418076512736,67.1
45.085000000000015,54.62662971721431,56.0
115.21999999999991,30.024394820791898,29.0
116.20799999999991,35.430839002267554,36.0
97.16099999999994,30.222793365855072,29.9
101.19299999999993,33.143652211725616,34.0
117.14799999999994,33.60638521,50.7
59.11200000000002,48.15839875250484,45.5
129.16199999999998,44.14962307259302,50.7
107.15599999999996,43.45390778820044,36.0
107.15599999999996,43.45390778820044,46.0
107.15599999999996,43.45390778820044,33.0
107.15599999999992,41.83897350588842,52.0
135.21000000000004,31.991564464282067,31.200000000000003
93.12899999999996,46.78485143938274,46.2
93.12899999999996,46.78485143938274,46.3
93.12899999999996,46.78485143938274,46.8
143.18900000000005,38.29281442995785,39.1
143.18900000000005,38.29281442995785,42.2
61.04000000000001,58.989950472037606,60.0
144.26200000000014,28.535685586967627,28.0
125.21499999999992,24.72725222613269,28.5
129.24699999999993,26.874199988659083,28.2
69.06299999999999,66.20582995297399,68.0
83.13399999999996,33.6844488,35.8
119.12299999999996,45.34684669364804,36.0
86.13799999999995,57.91742828084855,54.0
85.14999999999995,48.56195898942564,47.0
74.12699999999995,51.60853481305325,57.0
55.08000000000001,42.66282587466259,42.6
59.11200000000002,47.62809695746952,47.7
80.08999999999997,63.59235772481806,64.9
79.10199999999998,54.78848631,56.3
71.12299999999998,53.74910776481112,56.900000000000006
129.16199999999998,44.14962307259302,47.5
101.19299999999993,31.001830348063745,31.0
95.023,41.56965348783941,36.1
59.112000000000016,43.974136172069024,40.8
