Mol. wt.,CRC Tc /K Discrepancy
53.06400000000001,-24.81475553463065
169.2270000000001,-26.101436193914765
104.15299999999992,54.25873510290228
103.12399999999997,-33.56578965264225
119.16399999999992,74.25175897018062
69.10699999999997,-0.028096156415927
73.13899999999995,-35.170531900000015
52.036,-274.0381876738202
172.31600000000023,-21.71285248855827
73.13899999999995,-12.15058623037919
101.19299999999993,-41.10004674954837
121.18299999999992,58.963673000000085
107.15599999999996,-24.605372446308138
107.15599999999992,-47.905372446308206
107.15599999999996,-4.405372446308206
157.2160000000001,-19.48234908136567
101.19299999999993,-1.2141829295595699
200.37000000000023,-33.11283914281944
60.100000000000016,21.47480154900893
61.08400000000002,82.56512798942765
45.085000000000015,-43.31823433583821
115.21999999999991,-16.67862812156511
116.20799999999991,10.095296644941868
97.16099999999994,5.835143886653441
101.19299999999993,2.869825799999944
117.14799999999994,54.48883966262838
59.11200000000002,-54.837693377172684
129.16199999999998,45.22031189670429
31.058,-45.544023939774604
107.15599999999996,17.89572015065164
107.15599999999996,16.89572015065164
107.15599999999996,-25.10427984934836
107.15599999999992,50.00978572188774
135.21000000000004,12.41923201779366
93.12899999999996,-23.511207175109348
93.12899999999996,-0.7112071751093936
93.12899999999996,0.2887928248906064
143.18900000000005,-3.683067793068517
143.18900000000005,5.316932206931483
61.04000000000001,-0.15011389999995117
144.26200000000014,-4.120692400000053
125.21499999999992,4.468898057458205
129.24699999999993,8.45661931835025
69.06299999999999,-37.814427900000055
83.13399999999996,3.495034069631174
119.12299999999996,-20.562648450946767
86.13799999999995,18.902218754177397
85.14999999999995,-9.409169353303355
74.12699999999995,19.273805928518073
55.08000000000001,-2.4505818359051545
59.11200000000002,-23.672659969543076
80.08999999999997,-40.46406984143766
79.10199999999998,0.2341867317318247
67.09099999999998,68.00160375822782
71.12299999999998,-0.1166316641784988
129.16199999999998,24.22031189670429
101.19299999999993,23.708839561115326
59.112000000000016,-7.1971721989608
671.0850000000004,37.1153606688606
