Mol. Wt.,JR Hvap /(kJ mol-1),CRC Hvap /(kJ mol-1)
80.08999999999999,45.45400000000001,48.5
345.65399999999994,45.010000000000005,48.7
167.85000000000002,36.81,37.64
165.834,37.704,34.68
153.823,34.064,29.82
198.39400000000023,46.758,48.16
72.10699999999997,29.574,29.81
102.13299999999995,48.17,45.2
132.206,41.18600000000001,43.9
86.13399999999996,31.972,31.17
88.17499999999995,30.876,34.66
128.2589999999999,33.036,32.51
196.031,82.88799999999999,40.74
102.20199999999994,33.274,35.96
74.14799999999997,28.478,32.32
84.14299999999997,31.46,31.48
92.14099999999996,33.452,33.18
252.731,36.737,39.66
185.35500000000025,44.349,46.9
133.40500000000003,31.905,29.86
133.40500000000003,32.813,34.82
131.389,33.239000000000004,31.4
137.368,28.862,25.1
119.378,30.587000000000003,29.24
147.43200000000004,35.039,37.1
187.375,28.158,26.85
187.375,28.158,27.04
184.36700000000025,44.532,46.2
101.19299999999993,30.993,31.01
150.17400000000012,67.128,71.4
114.022,33.462999999999994,33.3
84.03999999999999,16.299,18.99
146.11100000000005,29.705,32.63
59.112000000000016,24.315,22.94
100.20499999999991,29.492000000000004,28.9
128.2589999999999,33.944,33.65
128.2589999999999,34.464,34.43
156.31300000000022,38.916,38.22
114.2319999999999,31.718000000000004,31.94
114.2319999999999,31.718000000000004,30.79
114.2319999999999,31.718000000000004,32.12
114.2319999999999,32.238,32.36
128.21499999999992,38.464,35.64
121.18299999999994,43.212,39.95
121.18299999999994,43.212,39.87
671.0850000000004,6.738,46.4
156.31300000000022,40.08,41.91
86.08999999999997,31.235,34.6
106.16799999999994,36.34,36.24
106.16799999999994,36.34,35.66
106.16799999999994,36.34,35.67
122.16699999999992,49.354,46.9
