Mol. Wt.,JR Hvap /(kJ mol-1),CRC Hvap /(kJ mol-1)
53.06400000000001,32.08,32.6
93.12899999999996,41.867,42.44
69.10699999999997,34.976,33.68
73.13899999999995,34.751000000000005,29.92
101.19299999999993,35.386,33.97
52.036,41.002,23.33
67.09099999999998,34.889,35.55
73.13899999999995,30.934,29.06
45.085000000000015,26.482,26.4
83.13399999999996,35.906000000000006,32.4
107.15599999999996,40.324,38.53
107.15599999999992,40.324,37.46
107.15599999999996,40.324,39.46
60.100000000000016,41.328,37.98
129.24699999999993,43.655,40.0
87.16599999999993,32.772,29.94
101.19299999999993,39.591,36.54
73.13899999999995,34.751000000000005,30.61
59.11200000000002,32.525000000000006,27.83
73.13899999999997,30.546,28.71
101.19299999999993,34.998,32.14
129.16199999999998,45.754000000000005,49.0
67.09099999999998,34.386,31.8
31.058,28.461,25.6
107.15599999999996,44.755,44.6
107.15599999999996,44.755,44.9
107.15599999999996,44.755,44.3
83.13399999999996,36.814,35.1
99.08899999999998,42.383,48.2
46.073000000000015,34.897000000000006,36.12
69.10699999999997,34.588,32.39
93.12899999999996,37.43600000000001,36.17
93.12899999999996,37.43600000000001,37.35
93.12899999999996,37.43600000000001,37.51
99.15799999999996,38.33200000000001,37.58
87.12199999999996,36.504000000000005,37.1
75.06699999999998,36.637,38.0
61.04000000000001,34.411,33.99
89.09399999999997,38.863,38.5
89.09399999999997,38.475,36.8
83.13399999999996,37.202,36.09
81.11799999999997,37.16,37.09
87.16599999999994,37.365,34.01
74.12699999999995,43.554,40.85
55.08000000000001,32.75,31.81
59.11200000000002,32.913,29.55
79.10199999999998,34.548,35.09
80.08999999999997,38.532,43.09
67.09099999999998,32.406000000000006,38.75
71.12299999999998,31.822,33.01
129.16199999999998,45.754000000000005,49.7
80.08999999999999,45.45400000000001,48.5
196.031,82.88799999999999,40.74
185.35500000000025,44.349,46.9
101.19299999999993,30.993,31.01
59.112000000000016,24.315,22.94
121.18299999999994,43.212,39.95
121.18299999999994,43.212,39.87
671.0850000000004,6.738,46.4
