Metric,Training,Test,Improvement
MAE,0.7584477767219413,1.5650733904707144,0.04250275272989501
RMSE,1.1569846992310895,1.916972880138086,0.8066256137487731
R2,0.9659791840246976,0.9234764312948026,0.7599881809069966
MAPE,2.1965873904107056,4.212337717534338,2.015750327123633
MPE,-0.06755445146206941,0.0811698038967526,0.148724255358822
