Property,Model,Kernel,Flag,LML
Tc,3,Matern52,False, -25.534604352935162
Tc,3,RBF,True, -29.911531701788363
Tc,3,RBF,False, -30.135672160333456
Tc,3,RQ,True, -24.04148864349895
Tc,3,RQ,False, -24.665719858637544
Tc,4,Matern12,True, -4.071244966548534
Tc,4,Matern12,False, -7.120985848127816
Tc,4,Matern32,True, -19.58426169464815
Tc,4,Matern32,False, -20.174689810729774
Tc,4,Matern52,True, -21.311012566537897
Tc,4,Matern52,False, -22.107754676938953
Tc,4,RBF,True, -28.092577744983487
Tc,4,RBF,False, -27.336539291763074
Tc,4,RQ,True, -21.26021043718663
Tc,4,RQ,False, -22.25527654739028
Tm,1,Matern12,True, -3396.5546054943616
Tm,1,Matern12,False, -3397.7054561256273
Tm,1,Matern32,True, -3402.9764479039604
Tm,1,Matern32,False, -3403.128019686903
Tm,1,Matern52,True, -3409.4720200445627
Tm,1,Matern52,False, -3409.5133153791603
Tm,1,RBF,True, -3420.4711285485137
Tm,1,RBF,False, -3420.7917819899367
Tm,1,RQ,True, -3406.9176517425904
Tm,1,RQ,False, -3406.996685663105
Tm,2,Matern12,True, -5174.397585243971
Tm,2,Matern12,False, -5174.397584330669
Tm,2,Matern32,True, -5275.910444028918
Tm,2,Matern32,False, -5275.910444028222
Tm,2,Matern52,True, -5288.520542406216
Tm,2,Matern52,False, -5288.520542407217
Tm,2,RBF,True, -5292.065600933161
Tm,2,RBF,False, -5292.065600932947
Tm,2,RQ,True, -5255.360622762868
Tm,2,RQ,False, -5255.325866658423
Tm,3,Matern12,True, -3403.2301654324283
Tm,3,Matern12,False, -3404.9406455009744
Tm,3,Matern32,True, -3407.716739082231
Tm,3,Matern32,False, -3407.818008207858
Tm,3,Matern52,True, -3417.446812324253
Tm,3,Matern52,False, -3417.4516414827913
Tm,3,RBF,True, -3430.5603930224624
Tm,3,RBF,False, -3430.5981782017643
Tm,3,RQ,True, -3417.411073626008
Tm,3,RQ,False, -3417.4824040954563
Tm,4,Matern12,True, -3392.4792805907755
Tm,4,Matern12,False, -3393.117133810466
Tm,4,Matern32,True, -3398.5089589956374
Tm,4,Matern32,False, -3398.6687765206657
Tm,4,Matern52,True, -3401.878773878122
Tm,4,Matern52,False, -3401.90194381328
Tm,4,RBF,True, -3410.8862654735385
Tm,4,RBF,False, -3412.1737565726626
Tm,4,RQ,True, -3401.8972392919763
Tm,4,RQ,False, -3401.934454598867
Vc,1,Matern12,True, 616.907177148767
Vc,1,Matern12,False, 613.3741431144194
Vc,1,Matern32,True, 618.7247917179575
Vc,1,Matern32,False, 617.3117907401513
Vc,1,Matern52,True, 600.6306094473821
Vc,1,Matern52,False, 598.2600565990269
Vc,1,RBF,True, 589.812190678638
Vc,1,RBF,False, 589.636869181988
Vc,1,RQ,True, 596.2780502942
Vc,1,RQ,False, 598.7042636666315
Vc,2,Matern12,True, 491.5679706278256
Vc,2,Matern12,False, 491.5679697045856
Vc,2,Matern32,True, 474.88520217297787
Vc,2,Matern32,False, 474.8852021729514
Vc,2,Matern52,True, 472.7648899992264
Vc,2,Matern52,False, 472.76488999925937
Vc,2,RBF,True, 470.8060623649476
Vc,2,RBF,False, 470.8060623648712
Vc,2,RQ,True, 480.22944016220276
Vc,2,RQ,False, 480.22944016168594
Vc,3,Matern12,True, 666.3037206291646
Vc,3,Matern12,False, 664.5970196458586
Vc,3,Matern32,True, 651.0398001100705
Vc,3,Matern32,False, 648.6944965106184
Vc,3,Matern52,True, 645.3420676115177
Vc,3,Matern52,False, 643.2126243413082
Vc,3,RBF,True, 635.0598093499168
Vc,3,RBF,False, 632.5112581840696
Vc,3,RQ,True, 659.5741686243431
Vc,3,RQ,False, 658.0602842306049
Vc,4,Matern12,True, 669.6655805654032
Vc,4,Matern12,False, 667.7684851725498
Vc,4,Matern32,True, 658.0738398055098
Vc,4,Matern32,False, 655.9064317349074
Vc,4,Matern52,True, 653.3265070638722
Vc,4,Matern52,False, 651.4433387755801
Vc,4,RBF,True, 620.3684140553075
Vc,4,RBF,False, 619.2306803498461
Vc,4,RQ,True, 666.6786925735632
Vc,4,RQ,False, 664.9223789300127
