Mol. wt.,CRC Pc /Bars
60.052000000000014,57.9
41.053,48.8
26.038,62.400000000000006
40.06500000000001,65.0
57.09600000000002,48.3
105.13699999999994,48.8
93.12899999999996,53.0
78.11399999999996,49.0
164.2040000000001,32.0
122.16699999999992,40.0
150.17700000000008,35.0
103.12399999999997,42.2
134.20300000000003,46.8
138.25400000000005,32.7
103.16899999999994,44.3
390.56399999999945,11.0
165.364,43.1
108.96599999999997,62.0
175.0,42.0
122.99299999999997,43.3
225.00700000000003,33.0
225.00700000000003,32.0
58.12400000000002,38.0
90.12199999999994,54.0
90.12199999999996,55.0
90.19099999999996,40.1
74.12299999999995,44.3
72.10699999999997,41.8
56.10800000000002,42.3
118.17599999999992,33.0
132.20299999999995,27.0
116.15999999999993,30.1
128.17099999999994,27.6
73.13899999999995,40.0
134.222,28.9
134.222,30.0
144.21400000000014,24.0
140.27000000000007,28.2
88.14999999999993,33.7
100.16099999999992,31.200000000000003
112.55899999999995,45.0
100.495,40.6
86.468,49.900000000000006
62.49900000000001,55.9
130.549,42.0
134.65,31.0
50.48800000000001,66.9
92.56899999999996,37.0
182.475,28.9
154.465,31.3
78.54199999999997,45.6
136.47500000000002,36.2
118.485,40.1
104.458,38.8
108.13999999999994,44.0
52.036,62.0
84.16199999999994,40.7
98.14499999999994,46.1
99.17699999999994,39.0
70.13499999999998,45.1
84.11799999999995,45.9
42.08100000000002,55.8
138.25400000000005,32.0
156.26900000000018,26.0
172.31600000000023,24.0
158.2850000000002,23.0
158.2850000000002,23.0
156.26900000000018,22.0
156.26900000000018,22.0
218.3840000000002,17.2
184.2630000000001,39.0
359.8359999999999,24.0
190.33000000000013,22.3
278.3479999999996,16.0
147.00400000000002,35.4
98.95999999999998,50.6
96.944,54.0
116.95,42.1
220.927,26.3
112.98699999999998,46.3
170.92,32.9
152.93000000000004,37.6
446.67199999999934,9.4
118.17599999999992,21.4
73.13899999999995,37.5
106.12099999999994,48.0
134.175,30.0
204.26600000000016,21.5
176.21200000000013,25.0
148.20200000000014,30.5
146.14200000000008,21.4
174.1960000000001,22.6
114.09399999999998,42.8
114.09399999999998,42.8
64.034,44.7
150.04600000000002,34.300000000000004
334.4559999999995,13.0
129.24699999999993,32.0
162.27600000000015,23.0
90.12199999999994,39.1
45.085000000000015,53.4
86.17799999999993,31.0
100.16099999999992,36.7
84.16199999999994,31.8
112.21599999999992,28.8
94.20399999999998,51.0
160.1690000000001,28.0
188.22300000000013,24.0
