Mol. wt.,JR Pc /Bars,CRC Pc /Bars
60.052000000000014,57.30524383094724,57.9
41.053,48.56195898942562,48.8
26.038,61.61140944724709,62.400000000000006
40.06500000000001,52.35810430153243,65.0
57.09600000000002,50.51400526052851,48.3
105.13699999999994,46.27701420704337,48.8
93.12899999999996,50.58588572850757,53.0
78.11399999999996,47.69390433747443,49.0
164.2040000000001,32.3565536905238,32.0
122.16699999999992,40.93379817754543,40.0
150.17700000000008,36.20244989,35.0
103.12399999999997,39.85562697683909,42.2
134.20300000000003,45.839408964996565,46.8
138.25400000000005,30.25605090762101,32.7
103.16899999999994,45.96380350474002,44.3
390.56399999999945,9.888849333491557,11.0
165.364,54.62662971721432,43.1
108.96599999999997,55.60866182760092,62.0
175.0,47.30109416891032,42.0
122.99299999999997,48.426877110503845,43.3
225.00700000000003,38.05694917989178,33.0
225.00700000000003,38.05694917989178,32.0
58.12400000000002,38.96502655076909,38.0
90.12199999999994,50.299280720285694,54.0
90.12199999999996,49.73332988515579,55.0
90.19099999999996,42.27536141206471,40.1
74.12299999999995,43.857725538353584,44.3
72.10699999999997,42.22044051963229,41.8
56.10800000000002,41.62330905306972,42.3
118.17599999999992,33.841394184221045,33.0
132.20299999999995,30.625535755466124,27.0
116.15999999999993,31.526238815672706,30.1
128.17099999999994,29.44078119346449,27.6
73.13899999999995,42.33038953694363,40.0
134.222,29.313401002342424,28.9
134.222,29.92592734463655,30.0
144.21400000000014,25.48185551736957,24.0
140.27000000000007,26.19092767218177,28.2
88.14999999999993,33.99943900925634,33.7
100.16099999999992,31.95540559238772,31.200000000000003
112.55899999999995,44.44444444444444,45.0
100.495,43.39667512033899,40.6
86.468,48.69760685350639,49.900000000000006
62.49900000000001,50.657919732526175,55.9
130.549,41.09138725,42.0
134.65,26.930013473085747,31.0
50.48800000000001,54.78848631,66.9
92.56899999999996,38.10394756896815,37.0
182.475,35.98560431884828,28.9
154.465,37.45380073679117,31.3
78.54199999999997,42.00182371918589,45.6
136.47500000000002,39.0625,36.2
118.485,40.93379817754544,40.1
104.458,46.466479778485,38.8
108.13999999999994,50.299280720285694,44.0
52.036,46.913116907487336,62.0
84.16199999999994,41.30292556882388,40.7
98.14499999999994,43.22565391,46.1
99.17699999999994,42.60714845693951,39.0
70.13499999999998,45.34684669364804,45.1
84.11799999999995,47.56242568370988,45.9
42.08100000000002,55.44315994963543,55.8
138.25400000000005,30.25605090762101,32.0
156.26900000000018,22.58959938700863,26.0
172.31600000000023,23.473649420106955,24.0
158.2850000000002,22.98113065324324,23.0
158.2850000000002,23.15841933598327,23.0
156.26900000000018,22.35523587568253,22.0
156.26900000000018,22.35523587568253,22.0
218.3840000000002,17.03307943257362,17.2
184.2630000000001,37.59170967471517,39.0
359.8359999999999,32.727824934937075,24.0
190.33000000000013,20.51170972484772,22.3
278.3479999999996,16.962998949651105,16.0
147.00400000000002,41.516101604846426,35.4
98.95999999999998,45.90154302627037,50.6
96.944,48.76564401860115,54.0
116.95,43.857725538353584,42.1
220.927,31.10566001700236,26.3
112.98699999999998,40.46643228509087,46.3
