Mol. wt.,JR Tc /K,CRC Tc /K
53.06400000000001,564.8147555346306,540.0
169.2270000000001,864.1014361939148,838.0
104.15299999999992,684.7412648970977,739.0
103.12399999999997,724.5657896526423,691.0
119.16399999999992,667.7482410298194,742.0
69.10699999999997,585.4280961564159,585.4
73.13899999999995,549.4705319,514.3
52.036,671.0381876738202,397.0
172.31600000000023,757.7128524885583,736.0
73.13899999999995,511.6505862303792,499.5
101.19299999999993,564.2000467495484,523.1
121.18299999999992,628.736327,687.7
107.15599999999996,671.7053724463082,647.1
107.15599999999992,671.7053724463082,623.8
107.15599999999996,671.7053724463082,667.3
157.2160000000001,805.4823490813657,786.0
101.19299999999993,557.0141829295595,555.8
200.37000000000023,800.1128391428194,767.0
60.100000000000016,591.6251984509911,613.1
61.08400000000002,588.4348720105723,671.0
45.085000000000015,499.8182343358382,456.5
115.21999999999991,614.6786281215651,598.0
116.20799999999991,674.9047033550581,685.0
97.16099999999994,627.9648561133465,633.8
101.19299999999993,589.4301742,592.3
117.14799999999994,571.5111603373716,626.0
59.11200000000002,527.0376933771727,472.2
129.16199999999998,757.7796881032957,803.0
31.058,476.1440239397746,430.6
107.15599999999996,692.1042798493484,710.0
107.15599999999996,692.1042798493484,709.0
107.15599999999996,692.1042798493484,667.0
107.15599999999992,651.9902142781123,702.0
135.21000000000004,655.5807679822063,668.0
93.12899999999996,645.5112071751093,622.0
93.12899999999996,645.5112071751093,644.8
93.12899999999996,645.5112071751093,645.8
143.18900000000005,781.6830677930685,778.0
143.18900000000005,781.6830677930685,787.0
61.04000000000001,588.1501139,588.0
144.26200000000014,716.1206924,712.0
125.21499999999992,669.9311019425418,674.4
129.24699999999993,632.5433806816498,641.0
69.06299999999999,588.8144279,551.0
83.13399999999996,606.8049659303688,610.3
119.12299999999996,677.5626484509468,657.0
86.13799999999995,641.0977812458226,660.0
85.14999999999995,603.5491693533033,594.14
74.12699999999995,612.7261940714819,632.0
55.08000000000001,563.7505818359051,561.3
59.11200000000002,522.8726599695431,499.2
80.08999999999997,667.4640698414377,627.0
79.10199999999998,618.7658132682682,619.0
67.09099999999998,571.6983962417722,639.7
71.12299999999998,568.7166316641785,568.6
129.16199999999998,757.7796881032957,782.0
101.19299999999993,511.8911604388847,535.6
59.112000000000016,440.1971721989608,433.0
671.0850000000004,528.8846393311394,566.0
