Mol. wt.,Log P (JR),logP (CRC)
53.06400000000001,0.6959799999999999,0.2
93.12899999999996,1.2687999999999997,0.9
69.10699999999997,1.31008,0.5
73.13899999999995,0.7436,0.6
101.19299999999993,1.396,1.6
52.036,0.03356,0.1
67.09099999999998,0.91998,0.3
105.13699999999994,-1.4394,-1.4
101.19299999999993,1.3927999999999998,1.4
60.100000000000016,-0.5783,-0.5
107.15599999999996,1.69844,1.6
107.15599999999996,1.69844,1.6
107.15599999999996,1.69844,1.6
101.19299999999993,1.396,1.7
61.08400000000002,-1.0626,-1.3
87.16599999999993,1.0043,0.9
73.13899999999995,0.6011000000000001,0.7
73.13899999999997,0.6141999999999999,0.6
129.16199999999998,2.2348,2.1
31.058,-0.4251,-0.7
107.15599999999996,1.5772199999999998,1.4
83.13399999999996,1.55608,1.1
46.073000000000015,-0.9205,-0.9
93.12899999999996,1.39002,1.1
93.12899999999996,1.39002,1.2
87.12199999999996,-0.3938000000000001,-0.9
61.04000000000001,-0.1071,0.1
89.09399999999997,0.6715,0.8
81.11799999999997,1.47618,1.0
74.12699999999995,-0.7060999999999993,-1.4
59.11200000000002,0.3551000000000001,0.5
80.08999999999997,0.4765999999999999,-0.4
71.12299999999998,0.3697999999999999,0.5
80.08999999999999,0.8137599999999999,-1.0
185.35500000000025,3.6887000000000025,4.0
59.112000000000016,0.1777999999999999,0.3
121.18299999999994,2.00686,1.9
169.2270000000001,2.9358000000000004,2.8
104.15299999999992,-1.4729999999999992,-1.7
119.16399999999992,-1.0972000000000002,-1.1
172.31600000000023,2.0246,1.9
121.18299999999992,1.7526,2.3
200.37000000000023,2.8048,3.0
115.21999999999991,1.9139,2.4
97.16099999999994,2.09028,1.7
135.21000000000004,2.06102,2.9
143.18900000000005,2.54322,2.6
125.21499999999992,2.870480000000001,2.8
69.06299999999999,0.6745999999999999,0.1
85.14999999999995,0.7599,0.8
95.023,1.07228,1.1
135.16600000000005,1.6449999999999998,1.2
101.10499999999996,-0.3309999999999999,-1.4
179.2220000000001,3.3880000000000017,3.4
133.19400000000002,2.2845000000000004,2.5
85.14999999999993,0.734,0.9
122.17099999999996,0.7275,0.7
125.19599999999996,1.5575,1.4
118.13899999999995,1.14048,1.1
89.13799999999995,-0.2839999999999999,-0.4
171.2840000000002,1.5224,1.4
109.12799999999996,0.9743999999999996,0.6
135.16600000000005,0.8280000000000001,0.8
135.16600000000005,1.4713999999999998,0.8
75.11099999999996,-0.6741000000000001,-1.0
75.11099999999996,-0.6741,-1.0
57.09600000000001,-0.0203,-0.1
117.15099999999995,1.75268,1.6
108.14399999999996,0.851,-0.3
136.19800000000006,0.6040000000000001,-0.3
131.178,2.14278,1.7
118.13899999999995,1.5628999999999995,1.3
179.2220000000001,3.3880000000000017,3.5
136.17900000000003,1.6912999999999998,2.0
151.19000000000003,1.5895999999999997,1.8
135.12200000000004,1.1210999999999998,1.2
107.15599999999996,1.1453,1.1
183.2540000000001,2.8596000000000004,3.2
135.21,1.7961,1.8
149.23700000000014,2.1846,2.3
169.2270000000001,2.672400000000001,2.8
149.21800000000005,2.400880000000001,2.0
156.18800000000007,2.1436,1.7
156.18800000000007,2.1436,1.6
156.18800000000005,2.1436,1.4
146.23800000000017,-1.916999999999998,-2.5
161.24500000000018,0.0731,0.1
225.3350000000001,4.0984000000000025,3.6
172.02500000000003,2.0313000000000003,2.1
196.04700000000005,2.646180000000001,2.5
182.02,2.32078,1.8
200.0790000000001,2.5151000000000003,3.2
186.05200000000008,2.33972,2.0
202.007,2.3573000000000004,2.5
202.007,2.3573000000000004,2.5
157.99800000000005,1.8441,1.4
208.05800000000005,2.997300000000001,3.2
164.02700000000002,1.9056,1.8
78.074,0.5897599999999998,-0.2
67.09099999999998,1.08608,0.8
115.17599999999992,0.9226,1.0
117.19199999999992,0.3667999999999998,0.4
149.2370000000001,2.7823,2.8
149.23700000000014,2.898600000000001,2.8
141.17000000000007,1.24338,1.3
87.16599999999994,1.0059,1.3
191.2740000000001,2.839600000000001,2.5
115.20099999999996,2.00078,2.0
113.15999999999994,0.6766000000000001,-0.1
80.046,-0.39734,0.0
75.49799999999999,0.74878,0.5
127.57399999999996,1.9222,1.9
151.59600000000006,2.40608,2.5
137.56900000000002,2.2116800000000003,2.0
169.63600000000002,2.949700000000001,3.2
188.61700000000005,2.770560000000001,2.3
155.62800000000007,2.4060000000000006,2.7
155.62800000000007,2.4060000000000006,3.1
202.55300000000005,2.1564,1.8
175.54600000000002,2.3873000000000006,2.6
141.60100000000006,2.3817000000000004,2.8
141.60100000000006,2.23062,2.2
141.60100000000006,2.23062,2.9
141.60100000000006,2.23062,1.4
171.58300000000006,2.556620000000001,3.3
171.58300000000006,2.556620000000001,3.4
157.55600000000004,2.2482000000000006,2.2
157.55600000000004,2.2482000000000006,2.4
123.53899999999996,1.238,1.6
225.55300000000005,3.2670000000000003,2.8
169.61100000000005,2.2984,2.1
89.52499999999999,1.13888,0.2
113.54699999999998,1.735,1.2
113.54699999999995,1.735,1.3
163.60700000000003,2.888200000000001,1.6
163.60700000000006,2.8882000000000003,2.4
185.479,-0.3333999999999999,0.7
143.23000000000013,0.8994,1.0
51.048,0.14318,0.5
61.471,0.70628,1.0
135.048,0.2889,1.3
109.17199999999994,2.09028,2.1
159.2320000000001,2.9053000000000013,2.6
155.28500000000017,2.6609000000000007,2.8
127.2309999999999,1.9286,2.0
127.23099999999992,2.0580000000000003,1.3
57.09600000000002,0.1075,0.1
157.3010000000002,3.0858000000000008,4.2
200.2410000000001,2.643299999999999,1.4
198.845,1.62588,1.7
129.24699999999993,2.173,2.4
172.31600000000023,1.7625999999999995,1.3
109.943,1.31368,1.3
162.01900000000003,2.5756,2.9
162.01900000000003,2.5756,2.7
172.014,2.8650800000000007,2.7
163.00700000000006,2.09182,2.5
192.00100000000003,2.9016,3.1
192.001,2.9016,3.1
157.9840000000001,1.8045,2.2
148.98000000000002,1.7834,2.1
147.21800000000016,0.9046,1.0
115.17599999999992,0.8746999999999999,0.3
161.24500000000015,0.3371,0.2
131.21899999999994,0.7105999999999999,0.7
149.2370000000001,2.3936,2.7
164.25200000000012,2.115,2.2
135.59400000000005,1.687,1.4
251.2820000000001,2.05184,2.1
116.20799999999991,0.2054,0.2
87.16599999999993,0.958,1.0
163.26400000000012,2.8412200000000007,3.5
199.2970000000001,3.6860000000000026,4.2
129.20299999999995,1.2648,0.9
116.16399999999992,0.3254000000000002,0.1
159.09100000000004,1.8730000000000004,1.8
185.35500000000025,3.736600000000003,4.5
119.16699999999992,1.6545999999999998,1.9
84.12199999999996,0.008,0.5
70.09499999999997,-0.0345,-0.2
173.25900000000013,3.2940000000000014,2.8
133.191,-0.6623999999999998,-0.8
145.24600000000015,1.0975,1.2
119.16399999999992,0.1243999999999998,0.2
87.12199999999996,0.0945,-0.8
137.18200000000004,1.4582,1.6
103.16499999999994,-0.0711999999999999,0.0
103.16499999999994,-0.0712000000000001,0.0
121.18299999999994,1.88564,2.3
121.18299999999994,1.88564,1.8
121.18299999999994,1.88564,2.5
121.18299999999994,2.03672,2.2
121.18299999999994,2.03672,2.1
136.19800000000004,1.3348,1.8
149.2370000000001,1.9664,1.9
147.17700000000008,2.44464,2.5
115.17599999999992,0.8747,0.6
107.53999999999996,0.9068,0.8
155.2850000000002,2.5647,3.5
185.35500000000025,3.6887000000000025,5.3
88.15399999999994,-0.4932999999999998,-0.7
89.13799999999993,-0.4597000000000001,-0.4
144.26200000000014,1.2412,0.3
96.13299999999995,1.0265399999999998,0.9
97.11699999999996,1.29144,1.2
171.24300000000008,2.905800000000001,3.5
166.18000000000006,1.6607999999999998,2.2
151.16500000000008,2.21164,2.9
151.16500000000008,2.21164,2.5
151.16500000000008,2.21164,2.7
113.20399999999992,1.5369,1.5
101.14899999999994,0.4846,-0.1
102.18099999999993,-0.1032,-0.3
108.14399999999996,1.09344,0.5
108.14399999999996,1.0934399999999995,0.5
122.17099999999996,1.28064,1.3
108.14399999999996,1.0934399999999995,0.6
95.14499999999995,1.63154,1.5
157.2160000000001,2.8516400000000006,3.0
113.18499999999996,1.7599400000000005,1.8
88.10999999999996,-0.4548000000000001,-0.5
168.108,1.503,1.5
244.20600000000005,3.1700000000000017,3.4
106.037,-0.5027000000000001,0.1
134.0910000000001,0.2758999999999999,1.0
157.30100000000022,2.956400000000001,3.4
240.26200000000009,2.2638,2.4
210.3650000000002,2.1559,2.5
181.3230000000002,4.430880000000004,4.7
165.2360000000001,1.3279,0.9
137.18200000000007,1.6675,1.5
137.18200000000007,1.6674999999999998,1.2
193.29000000000013,2.931500000000001,3.1
167.16400000000007,1.9935,2.1
179.2190000000001,2.0437,1.5
87.12199999999994,0.1423999999999999,-0.1
165.1920000000001,1.4455,2.6
165.1920000000001,1.4455,1.9
121.18299999999994,1.8312,1.7
121.18299999999994,1.8312,2.0
145.2050000000001,2.703780000000001,2.5
89.09399999999997,0.1016000000000001,-0.2
169.1800000000001,0.99348,1.0
73.13899999999995,0.5679,0.7
136.19800000000006,1.65584,1.5
167.2080000000001,1.80824,1.7
43.06900000000001,-0.4104,-0.4
117.14799999999993,0.7524000000000002,0.7
89.13799999999993,0.7174,0.5
99.17699999999992,1.172,1.4
135.21000000000004,2.13962,2.4
135.21,2.42682,3.0
135.21,2.1427,2.9
121.18299999999994,1.95242,2.0
171.24300000000008,3.271600000000001,3.2
151.16500000000008,2.1572,3.0
195.1740000000001,1.7715,2.3
163.22000000000008,2.0594,1.6
121.18299999999994,1.95242,2.0
149.2370000000001,2.9852000000000016,2.7
107.15599999999996,1.644,1.7
107.15599999999996,1.644,1.6
151.16500000000008,1.2583,1.3
87.14699999999998,1.22058,1.3
111.11899999999996,1.4079,1.3
111.11899999999996,1.4079000000000002,1.1
135.14100000000005,1.89178,1.9
121.11399999999998,1.69738,2.1
141.10100000000003,1.7339000000000002,1.9
97.09199999999998,1.2207,0.8
130.07800000000003,-0.7977000000000001,-0.9
97.11699999999996,0.7383,0.4
130.23499999999996,0.8543000000000001,0.3
115.21999999999991,1.9155,2.6
100.16499999999994,-0.4306999999999998,-0.5
108.14399999999996,1.59396,-0.3
71.07899999999998,-0.1092199999999999,-0.3
157.25700000000018,1.2878999999999998,0.9
133.19400000000002,1.6326,1.2
117.15099999999995,2.1678999999999995,2.1
249.007,2.1994,2.6
249.007,2.1994,2.7
101.19299999999993,1.204,1.0
103.16499999999994,-0.0232999999999999,-0.1
135.21000000000004,2.3922,2.2
103.12099999999997,0.4901000000000001,0.3
149.2370000000001,2.70062,2.6
69.06299999999999,0.6746,0.1
149.23700000000014,1.837,2.1
123.15499999999994,1.2774,1.2
123.15499999999994,1.2774,0.9
147.17700000000005,1.76128,1.6
137.18200000000007,1.1539,0.8
133.15000000000003,1.5668799999999998,1.9
137.18200000000007,1.2705,0.7
61.08400000000002,-0.2328000000000001,-0.2
137.18200000000007,1.58582,1.2
89.13799999999995,-0.0183999999999998,-0.5
109.12799999999996,1.0901999999999998,1.4
109.12799999999996,1.0901999999999998,1.0
73.09499999999997,-0.2477,-1.1
151.16500000000008,1.0554,1.9
135.16600000000005,1.0462,0.9
131.178,2.3136800000000006,2.1
122.17099999999996,1.1594199999999997,0.9
122.17099999999996,1.1594199999999997,0.6
135.21000000000004,1.7488,2.2
121.18299999999994,1.45372,1.3
121.18299999999994,1.45372,1.3
149.2370000000001,1.9664,2.0
117.15099999999995,1.8667,2.4
149.21800000000005,2.6047200000000013,3.0
133.15,2.13622,2.2
101.14899999999994,0.5178000000000001,0.4
87.16599999999994,1.1337,0.8
83.13399999999996,1.55608,1.1
83.13399999999996,0.3569000000000001,0.0
181.23800000000008,3.629520000000001,4.1
135.21000000000004,2.06102,2.8
182.13500000000005,1.8114200000000005,2.1
74.12699999999995,-0.8354999999999999,-1.1
111.14399999999992,0.999,0.5
115.21999999999991,1.7714,2.1
47.05700000000001,-0.4935,-0.7
82.10599999999998,0.7181199999999999,0.2
131.178,2.4763200000000003,2.6
131.178,2.4763199999999994,2.6
143.18900000000005,2.5432200000000007,2.7
83.08999999999997,0.98302,0.5
165.19200000000006,1.5149,2.3
197.2810000000001,4.047040000000003,4.2
152.15300000000008,1.4854200000000002,1.8
90.08199999999997,-0.2603000000000001,0.6
83.08999999999996,0.98302,0.7
83.08999999999997,0.98302,0.7
108.14399999999996,1.44986,0.5
149.1930000000001,1.95342,0.9
149.1930000000001,1.6693,1.1
183.2540000000001,3.738620000000002,3.8
122.17099999999994,0.9965,1.6
99.17699999999994,1.0059,1.1
87.12199999999996,0.1423999999999999,0.0
71.12299999999996,0.3918,0.4
69.10699999999997,-0.161,-0.1
82.10599999999997,0.7181199999999999,0.6
94.11699999999996,0.7850199999999998,-0.3
108.14399999999996,0.97222,1.0
108.14399999999996,1.1232999999999995,1.1
94.11699999999996,0.7850199999999998,-0.1
94.11699999999998,0.7850199999999998,0.0
81.11799999999997,1.32312,1.1
143.18900000000008,2.5432200000000007,2.5
