SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,253.04,,,253.039,286.13,165.47
NC(F)(F)C(F)C(F)(F)F,167.05,,,167.052,329.49,200.21
CN(C)C(F)(F)C(F)C(F)(F)F,195.11,,,195.106,315.16,171.96
NC(F)(F)CF,99.06,,,99.055,312.47,199.75
CC(F)C(F)(F)N(C)C,141.13,,,141.136,320.58,167.77
CCCC(F)C(N)(F)F,141.13,,,141.136,380.67,218.56
NC(C(F)F)C(F)F,131.07,,,131.072,336.53,164.19
Nc1ccc(cc1)c2ccccc2,169.22,302.0,51.0,169.227,605.03,373.62
CCOC(OCC)N(C)C,147.22,,,147.218,416.6,230.58
CC(C)(C)C(N)(F)F,123.14,,,123.146,378.61,235.39
CC(N)(F)F,81.06,,,81.065,313.2,199.16
CN(C)C(F)(F)C(C)(C)C,151.20,,,151.2,364.28,207.14
CN(C)C(F)(F)N(C)C,138.16,,,138.161,334.19,214.65
FCN(CF)C(F)F,131.07,,,131.072,277.32,143.4
CCCC(F)(F)N(C)C,137.17,,,137.173,344.63,193.45
CNC(C)(F)F,95.09,,,95.092,313.72,179.83
CC(N)C(F)F,95.09,,,95.092,338.43,178.01
CCCC(C)(C)N,101.19,,,101.193,406.18,243.06
CC(N)N,60.10,,,60.1,389.98,263.82
CC(O)CNCC(C)O,133.19,249.0,-42.0,133.191,570.53,301.68
Nc1cccc(N)c1N,123.16,,,123.159,591.11,458.62
Nc1ccc(N)c(N)c1,123.16,,,123.159,591.11,458.62
Nc1ccccc1N,108.14,257.0,102.1,108.144,513.6,362.84
NC(=O)c1ccccc1C(N)=O,164.16,,228.0,164.164,667.1,485.24
CCC(N)CN,88.15,,,88.154,435.74,286.36
NC1CCCCC1N,114.19,,,114.192,496.82,327.04
NCCN,60.10,-117.0,8.5,60.1,390.42,278.82
FCC(F)N(C)C,109.12,,,109.119,301.66,153.49
CC(N)CN,74.13,119.0,-12.0,74.127,412.86,275.09
Nc1nc(N)nc(N)n1,126.12,,354.0,126.123,683.57,639.43
Nc1cccc(N)c1,108.14,-287.0,-63.0,108.144,513.6,362.84
NCc1cccc(CN)c1,136.19,247.0,14.1,136.198,559.36,385.38
NCC1CCCC(CN)C1,142.24,,,142.246,542.58,349.58
Nc1c(cc(c(N)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,243.13,,,243.135,984.06,831.23
NC(CF)(CF)CF,127.11,,,127.109,358.23,222.29
CC(N)(CF)CF,109.12,,,109.119,358.96,221.7
CC(CF)C(N)F,109.12,,,109.119,361.31,189.28
NC(F)CCF,95.09,,,95.092,338.87,193.01
CN1CCN(C)C1=O,114.15,,,114.148,418.11,301.45
CC(C)CC(C)N,101.19,,,101.193,408.53,210.64
NCCCN,74.13,139.8,-12.0,74.127,413.3,290.09
Nc1ccc(N)cc1,108.14,267.0,-147.0,108.144,513.6,362.84
NCCCCN,88.15,158.5,27.5,88.154,436.18,301.36
Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12,238.24,,,238.246,881.04,679.12
FCCC(CF)CF,126.12,,,126.121,311.37,132.88
Nc1ccc(N)c2ccccc12,158.20,,,158.204,629.08,453.14
Nc1cccc2c(N)cccc12,158.20,,190.0,158.204,629.08,453.14
NCCCCCN,102.18,179.0,11.83,102.181,459.06,312.63
NCCCCCCN,116.20,205.0,42.0,116.208,481.94,323.9
NCCCCCCCN,130.23,,,130.235,504.82,335.17
Nc1cccc2cccc(N)c12,158.20,,,158.204,629.08,453.14
NCCCCCCCCN,144.26,,,144.262,527.7,346.44
NCc1cccc(c1)C(F)(F)F,175.15,,,175.153,481.41,306.31
