SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
FCCNCCF,109.12,,,109.119,339.83,188.68
CN(CCF)CCF,123.14,,,123.146,324.98,179.76
ONC(=O)c1ccccc1F,155.13,,,155.128,586.91,371.59
CNCCF,77.10,,,77.102,317.68,176.82
CCC(N)C(C)F,105.15,,,105.156,384.92,199.96
CC(F)CN,77.10,,,77.102,339.6,192.42
CC(C)(N)F,77.10,,,77.102,336.81,209.84
CCCCCC(C)N,115.22,,,115.22,431.85,236.91
CCCCC(C)N,101.19,,,101.193,408.97,225.64
CN(C)C(=O)c1ccccc1O,165.19,,,165.192,579.13,411.73
CC(O)C(N)=O,89.09,,,89.094,486.38,302.58
Nc1ccccc1I,219.02,,,219.025,534.21,337.64
CC(C)OCCN,103.16,,,103.165,408.51,236.6
CNC(=O)C(C)(C(C)C)C(C)C,171.28,234.0,64.0,171.284,528.33,277.47
COc1ccccc1S,140.20,99.0,,140.207,476.7,266.28
COC(C)CN,89.14,,,89.138,385.63,225.33
COC(C)(C)CN,103.16,,,103.165,405.72,254.02
COC(C)(C)N,89.14,,,89.138,382.84,242.75
COc1ccc(C)cc1N,137.18,235.0,51.5,137.182,514.23,336.87
COCCN,75.11,,,75.111,363.19,229.06
COCCNCCOC,133.19,,,133.191,431.89,254.5
COc1ccccc1C(=O)N(C)C,179.22,,,179.219,548.79,346.03
CC(C)C(N)N,88.15,,,88.154,435.3,271.36
Cc1c(N)cccc1N,122.17,289.0,106.0,122.171,541.46,386.63
Cc1cc(N)ccc1N,122.17,273.5,64.0,122.171,541.46,386.63
CC(C)CN,73.14,-69.0,-85.0,73.139,363.21,203.1
CCC(C)(C)N,87.16,,,87.166,383.3,231.79
CC(=C)C(N)=O,85.10,,,85.106,414.08,252.31
CC(C)(N)C#C,,,,83.134,373.42,278.76
Cc1c(N)cccc1Cl,141.60,245.0,-2.0,141.601,506.36,333.29
CC1OCCC1S,118.20,168.0,,118.201,414.42,215.8
Cc1cc(Cl)ccc1N,141.60,241.0,30.0,141.601,506.36,333.29
Cc1cccc(c1N)[N+]([O-])=O,152.15,,,152.153,620.77,446.98
CNc1cnccn1,109.13,,,109.132,498.25,368.27
CNc1ccccn1,108.14,,,108.144,467.43,308
CCCC(C)CN,101.19,,,101.193,408.97,225.64
Cc1ccccc1N,107.15,200.3,-14.41,107.156,463.95,290.85
Cc1ccccc1CN,121.18,,,121.183,486.83,302.12
CCC(C)CN,87.16,,,87.166,386.09,214.37
CC(C)CNCC(C)C,129.24,139.6,-73.5,129.247,431.93,202.58
CC(C)C(N)=O,87.12,,,87.122,417.08,253.03
Nc1ccc2ccccc2c1,143.18,306.0,-113.0,143.189,551.57,357.36
NC(=O)c1ccccc1[N+]([O-])=O,166.13,,,166.136,669.66,484.39
Nc1ccccc1[N+]([O-])=O,138.12,284.0,71.0,138.126,592.91,423.19
O=N(=O)c1ccccc1Nc1ccccc1,214.22,,,214.224,734.51,486.63
Cc1ccc(N)c(c1)[N+]([O-])=O,152.15,,,152.153,620.77,446.98
CNCC(N)N,89.14,,,89.142,463.03,327.75
CNC(N)(C)C,88.15,,,88.154,410.59,273.18
CCCC(C)N,87.16,,,87.166,386.09,214.37
CCC=CC(N)=O,99.13,,,99.133,444.56,274.22
NCCc1ccccc1,121.18,197.5,0.0,121.183,481.85,289.6
NC(=O)NNc1ccccc1,151.17,,,151.169,613.18,433.58
NCc1ccccn1,108.14,,,108.144,489.79,338.6
NCC=C,57.09,53.5,-88.2,57.096,337.45,205.07
NC(=O)C=C,71.08,192.6,84.5,71.079,391.32,255
NCC#C,,,,55.08,330.89,253.8
Nc1ncc2nccnc2n1,147.14,,,147.141,674.85,598.44
Nc1ccccn1=O,110.11,,,110.116,410.6,309.85
Nc1ncccn1,95.10,,,95.105,497.73,387.6
Nc1sccn1,100.14,,,100.146,465.55,391
NC(=O)c1sccc1,127.17,,,127.168,511.48,391.93
OC(=O)c1sccc1,128.15,,,128.152,530.59,419.34
Cc1ccccc1C(N)=O,135.16,,,135.166,540.7,352.05
NCCc1cccnc1,122.17,,,122.171,512.67,349.87
CN(C)CCCn1c2ccccc2c2ccccc12,252.35,,,252.361,675.36,456.91
CCN(CC)c1cccc(O)c1,165.23,,,165.236,548.14,373.07
CN(C)CCC(=O)c1ccccc1,177.24,,,177.247,544.27,322.55
CN(C)CCCO,103.16,,,103.165,418.62,239.4
CN(C)C1=CC(=O)CC(C)(C)C1,167.25,,,167.252,532.59,347.71
CN(C)c1cccc(O)c1,137.18,,,137.182,502.38,350.53
CCNc1cccc(O)c1,137.18,,,137.182,540.11,370.72
CNC(C)=CC(=O)c1ccccc1,175.23,,,175.231,586.04,323.7
CNCCC#N,,,,84.122,443.37,252.49
CN(C)c1cccnc1,122.17,,,122.171,452.58,299.08
Nc1cccc(c1)C(F)(F)F,161.12,187.5,,161.126,458.53,295.04
FC(F)(F)c1cc(ccc1)NC(C)=O,203.16,,,203.163,535.8,336.91
CN(C)CC(C(F)(F)F)C(F)(F)F,209.13,,,209.133,338.04,183.23
CN(C)CCC(F)(F)F,141.13,,,141.136,321.02,182.77
CNCC(C(F)(F)F)C(F)(F)F,195.11,,,195.106,352.89,192.15
NCCC(F)(F)F,113.08,,,113.082,335.35,211.02
CC(N)C(F)(F)C(F)(F)F,163.09,,,163.089,353.1,210.89
CC(C)(N)C(F)(F)C(F)(F)C(F)(F)F,227.12,,,227.123,391.38,254.45
CC(N)C(F)(F)C(F)(F)C(F)(F)F,213.10,,,213.096,371.29,225.76
Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2,253.12,368.0,132.5,253.132,767.36,554.28
CC(F)(F)CCN,109.12,,,109.119,358.96,221.7
CNCCC(F)F,109.12,,,109.119,339.39,173.68
CC(N)C(C)(C)C,101.19,,,101.193,405.74,228.06
CC(C)(C)CCN,101.19,,,101.193,406.18,243.06
N#CCCNCCC#N,,,,123.159,591.21,340.02
NCCCNCCCN,131.22,,-14.0,131.223,532.11,376.56
Nc1ccc(cc1N)C(O)=O,152.15,,,152.153,686.97,547.23
Cc1ccc(N)c(N)c1,122.17,265.0,-90.0,122.171,541.46,386.63
Nc1ccc(Cl)c(Cl)c1,162.01,272.0,-72.0,162.019,520.91,351.94
Nc1ccncc1N,109.13,,,109.132,544.42,423.11
Cc1ccc(N)cc1C,121.18,228.0,51.0,121.183,491.81,314.64
Nc1cc(N)cc(c1)C(O)=O,152.15,,,152.153,686.97,547.23
Cc1cc(N)cc(N)c1,122.17,-285.0,0.0,122.171,541.46,386.63
Nc1cc(Br)cc(Br)c1,250.92,,,250.921,578.37,411.7
Nc1cc(Cl)cc(Cl)c1,162.01,260.0,-53.0,162.019,520.91,351.94
Nc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,183.12,,,183.123,749.73,579.32
NC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,211.13,,,211.133,826.48,640.52
Cc1cc(C)cc(N)c1,121.18,220.5,9.8,121.183,491.81,314.64
NCCNCCNCCNCCNCCN,232.37,,,232.376,774.14,579.62
CN(C)c1ccc(N(C)C)c2C(=O)NC(=O)c12,233.27,,,233.271,736.26,617.57
Nc1ccc(N)c2C(=O)NC(=O)c12,177.16,,,177.163,764.92,674.07
CC(=O)Nc1cccc2C(=O)NC(=O)c12,204.18,,,204.185,764.68,620.16
NCCCO,75.11,-188.0,12.4,75.111,432.95,267.65
NC(CC(O)=O)c1ccccc1,165.19,,,165.192,649.8,446.47
Cc1nnc(N)nc1C,124.14,,,124.147,584.27,495.45
NC(=O)c1cccc(N)c1,136.15,,-116.0,136.154,590.35,424.04
Nc1cccc(S)c1,125.19,,,125.196,503.93,316.04
Nc1cccc(c1)C(O)=O,137.14,,173.0,137.138,609.46,451.45
CCOC(=O)c(ccc1)cc1N,165.19,,,165.192,567.93,355.72
Nc1cccc(c1)C#N,,,,118.139,566.03,355.84
CC(N)CC(O)=O,103.12,,193.0,103.121,508.72,363.7
Nc1cccc(c1)[N+]([O-])=O,138.12,306.0,114.0,138.126,592.91,423.19
Cc1ccc(O)cc1N,123.15,,,123.155,544.57,402.57
Nc1cccc(O)c1,109.13,164.0,123.0,109.128,516.71,378.78
Nc1cccnc1,94.11,,,94.117,466.91,327.33
Nc1cccc(Br)c1,172.02,,,172.025,507.23,339.38
CNC(CCl)C(F)(F)F,161.55,,,161.554,372.86,206.61
NC(CCl)C(F)(F)F,147.53,,,147.527,372.34,225.94
Nc1ccc(F)c(Cl)c1,145.56,,,145.564,482.75,322.61
COc1ccc(N)cc1Cl,157.60,,,157.6,528.78,355.52
CC(=O)Nc1cccc(Cl)c1,169.61,,-78.0,169.611,555.77,351.37
NC(=O)c1cccc(Cl)c1,155.58,,,155.584,555.25,370.7
Nc1cccc(Cl)c1,127.57,230.5,-10.4,127.574,478.5,309.5
Cc1ccc(N)cc1Cl,141.60,243.0,26.0,141.601,506.36,333.29
CN(C)C=CC#N,,,,96.133,432.68,238.49
CN(C)CCCN,102.18,123.0,-70.0,102.181,398.97,261.84
CC(CN)CF,91.13,,,91.129,362.48,203.69
CC(N)C(C)(C)F,105.15,,,105.156,382.13,217.38
CNCC(C)(C)CF,119.18,,,119.183,383.09,213.05
CNCCCF,91.13,,,91.129,340.56,188.09
CCC(F)CCN,105.15,,,105.156,385.36,214.96
NCCCF,77.10,,,77.102,340.04,207.42
NCC(N)CF,92.12,,,92.117,412.13,275.68
CCCC(N)CC,101.19,,,101.193,408.97,225.64
CNC(CO1)=Nc2ccccc2C1c1ccccc1,,,,252.317,774.26,510.39
NC(=O)c1ncccc1O,138.12,,,138.126,624.28,500.25
Nc1ccc(cc1O)C(O)=O,153.14,,,153.137,690.08,563.17
NC(=O)c1cccc(O)c1,137.14,,,137.138,593.46,439.98
COCCCN,89.14,,,89.138,386.07,240.33
COc1cccc(N)c1,123.15,251.0,-1.0,123.155,486.37,313.08
CC(C)C(C)N,87.16,,,87.166,385.65,199.37
Cc1cccnc1N,108.14,,,108.144,494.77,351.12
Cc1cc(N)ccc1Br,186.05,,,186.052,535.09,363.17
CNc1cccc2C(=O)NC(=O)c12,176.17,,,176.175,687.93,558.96
Cc1cccc(N)c1,107.15,203.3,-31.3,107.156,463.95,290.85
Cc1cccc(c1)C(N)=O,135.16,,,135.166,540.7,352.05
Cc1cccc(CN)c1,121.18,,,121.183,486.83,302.12
CC(C)CC(N)=O,101.15,,,101.149,439.96,264.3
CC(C)CCNCCC(C)C,157.30,,,157.301,477.69,225.12
CCC(C)C(C)N,101.19,,,101.193,408.53,210.64
Cc1cccc(CC(=O)Nc2ccccc2)c1,225.28,,,225.291,705.18,426.76
Cc1cccc(NC(N)=O)c1,150.18,,,150.181,590.87,404.71
CC(C)(C)[C@H](N)C(O)=O,131.17,,,131.175,551.25,388.66
Cc1ccc(N)cc1[N+]([O-])=O,152.15,,,152.153,620.77,446.98
NC(=O)c1cccc(c1)[N+]([O-])=O,166.13,,,166.136,669.66,484.39
Nc1cccc(c1N)[N+]([O-])=O,153.14,,,153.141,670.42,518.97
Cc1c(N)cccc1[N+]([O-])=O,152.15,,,152.153,620.77,446.98
CC(=O)CC(=O)Nc1ccccc1,177.20,,86.0,177.203,612.99,381.4
CCC(N)CC,87.16,,,87.166,386.09,214.37
ClC(=O)C=Cc1ccccc1,166.60,,,166.607,527.66,292.38
NCCCc1ccccc1,135.21,,,135.21,504.73,300.87
OC(=O)c1cccnc1,123.11,,237.0,123.111,562.77,415.94
NCc1cccnc1,108.14,,,108.144,489.79,338.6
Nc1cnc2ccccc2c1,144.17,,,144.177,582.39,417.63
Oc1ccc(Nc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)cc1,275.22,,,275.22,971.95,754.48
NCCN1CCOCC1,130.19,,,130.191,468.75,314.82
NCCc1ccc(O)cc1,137.18,166.0,-165.0,137.182,562.47,401.32
CC(N)Cc1ccc(O)cc1,151.21,,,151.209,584.91,397.59
NCc1ccncc1,108.14,,,108.144,489.79,338.6
CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O,231.29,,-109.0,231.299,649.39,476.3
CN(C)c1ccc(CO)cc1,151.21,,,151.209,541.8,323.42
CN(C)c1ccc(cc1)C(=O)N(C)C,192.26,,,192.262,561.69,367.54
CSc1ccc(N)cc1,139.22,,,139.223,532.73,325.25
CN(C)c1ccncn1,123.16,,,123.159,483.4,359.35
CN(C)c1c2ccccc2ncc1,172.23,,,172.231,568.06,389.38
CC(C)(N)CC(F)(F)F,141.13,,,141.136,377.88,235.98
CC(CCN)C(F)(F)F,141.13,,,141.136,380.67,218.56
CC(N)CC(F)(F)F,127.11,,,127.109,357.79,207.29
NCCCC(F)(F)F,127.11,,,127.109,358.23,222.29
CNCCCC(F)(F)F,141.13,,,141.136,358.75,202.96
CNC(C)CC(F)(F)F,141.13,,,141.136,358.31,187.96
CC(C)(N)CC(F)F,123.14,,,123.146,381.4,217.97
NCCCC(F)F,109.12,,,109.119,361.75,204.28
Nc1ccc(Oc2ccc(N)cc2)cc1,200.24,300.0,189.0,200.241,704.96,491.63
NC1=NCCS1,102.16,,,102.162,466.39,390.24
CC(C)Cc1sc(C)c(C)n1,169.29,,,169.293,539.82,385.4
Nc1cnc2c(N)ncnc2n1,162.15,,,162.156,752.36,694.22
NCCOCCN1CCOCC1,174.24,,,174.244,536.93,359.59
CNC(C)Cc1ccc(O)cc1,165.23,,,165.236,585.43,378.26
OC(=O)c1ccc(cc1)NC(C)=O,179.17,,,179.175,686.73,493.32
CN1C=CC(=NC1O)N,127.14,,,127.147,563.43,419.14
Cc1cc(N)ccc1O,123.15,,,123.155,544.57,402.57
Nc1ccc(O)c(c1)[N+]([O-])=O,154.12,110.0,131.0,154.125,673.53,534.91
Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl,241.5,,218.5,241.461,767.51,639.04
OC(=O)c(ccc1N)cc1N(=O)=O,182.13,,,182.135,766.28,607.58
Nc1nc(O)ncc1Br,190.00,,,190.0,649.49,571.64
CC(=O)c1ccc(N)cc1,135.16,294.0,106.0,135.166,540.7,352.05
NC(=O)c1ccc(N)cc1,136.15,,,136.154,590.35,424.04
Nc1ccc(CC(O)=O)cc1,151.16,,,151.165,632.34,462.72
Nc1ccc(CC#N)cc1,,,,132.166,588.91,367.11
Nc1ccc(S)cc1,125.19,,,125.196,503.93,316.04
Nc1ccc(cc1)C(O)=O,137.14,,188.5,137.138,609.46,451.45
NCCCC(O)=O,103.12,,203.0,103.121,509.16,378.7
Cc1ccc(N)c(c1)C(O)=O,151.16,,,151.165,637.32,475.24
Nc1ccc(cc1)C(=O)NO,152.15,,,152.153,660.17,454.26
Nc1ccc(cc1)[N+]([O-])=O,138.12,332.0,146.0,138.126,592.91,423.19
Nc1ccc(O)cc1,109.13,284.0,187.5,109.128,516.71,378.78
Nc1ccc2C(=O)NC(=O)c2c1,162.15,,,162.148,687.41,578.29
Nc1c[nH]nc1,83.09,,,83.094,466.27,412.58
Nc1ccncn1,95.10,,,95.105,497.73,387.6
Nc1ccnc2ccccc12,144.17,,,144.177,582.39,417.63
Nc1ccc(C(O)=O)c(O)c1,153.14,,-151.0,153.137,690.08,563.17
CC(=O)Nc1ccc(Br)cc1,214.06,,,214.062,584.5,381.25
Nc1ccc(Br)cc1,172.02,219.7,-66.5,172.025,507.23,339.38
CN(C)c1ccc(Br)cc1,200.08,,,200.079,492.9,311.13
CN(C)C(=O)c1ccc(Br)cc1,228.09,,,228.089,569.65,372.33
CCCCc1ccc(N)cc1,149.23,,,149.237,532.59,324.66
CNc1ccc(Cl)cc1,141.60,,,141.601,479.02,290.17
Nc1ccc(Cl)cc1N,142.58,,76.0,142.589,556.01,405.28
Nc1cc(Cl)nc(N)n1,144.56,,,144.565,617.65,525.82
COc1cc(Cl)ccc1N,157.60,,,157.6,528.78,355.52
Nc1ccc(Cl)cc1[N+]([O-])=O,172.57,,116.5,172.571,635.32,465.63
Nc1ccc(Cl)cc1,127.57,232.0,72.5,127.574,478.5,309.5
NC(=O)c1ccc(Cl)cc1,155.58,,,155.584,555.25,370.7
ONC(=O)c1ccc(Cl)cc1,171.58,,,171.583,625.07,400.92
Nc1ccc(cc1)C#N,,,,118.139,566.03,355.84
CN(C)c1ccc(cc1)C(O)=O,165.19,,,165.192,595.13,423.2
CCOc1ccc(N)c(N)c1,152.19,295.0,71.5,152.197,586.76,420.13
CCOc1ccc(N)cc1,137.18,-255.0,2.4,137.182,509.25,324.35
CCc1ccc(N)cc1,121.18,,,121.183,486.83,302.12
NCCCCF,91.13,,,91.129,362.92,218.69
Cc1cc(F)ccc1N,125.14,,,125.146,468.2,303.96
Nc1ccc(F)c(c1)[N+]([O-])=O,156.11,,,156.116,597.16,436.3
CC(=O)Nc1ccc(F)cc1,153.15,,,153.156,517.61,322.04
CC(N)CCF,91.13,,,91.129,362.48,203.69
CN(C)C(=O)c1ccc(F)cc1,167.18,,,167.183,502.76,313.12
ONC(=O)c1ccc(F)cc1,155.13,,,155.128,586.91,371.59
CNC(C)CCF,105.15,,,105.156,363,184.36
CC(F)CCCN,105.15,,,105.156,385.36,214.96
CC(=O)Nc1ccc(O)cc1,151.16,500.0,168.0,151.165,593.98,420.65
Nc1ccc(I)cc1,219.02,,,219.025,534.21,337.64
CC(C)c1ccc(cc1)C=N(C(C)(C)C)=O,219.32,,,219.328,551.23,322.28
COc1ccc(N)c(C)c1,137.18,248.5,29.5,137.182,514.23,336.87
COc1ccc(NC(C)=O)cc1,165.19,,,165.192,563.64,354.95
COc1ccc(CN)cc1,137.18,,,137.182,509.25,324.35
COc1ccc(cc1)C(=O)N(c2ccccc2)c3ccccc3,303.4,,,303.361,830.95,511.57
Cc1ccc(N)cc1N,122.17,292.0,99.0,122.171,541.46,386.63
CCC(C)CC(C)N,115.22,132.5,,115.22,431.41,221.91
Cc1ccnc(N)c1,108.14,,,108.144,494.77,351.12
Cc1ccnc(N)n1,109.13,,,109.132,525.59,411.39
Cc1csc(N)n1,114.17,,,114.173,493.41,414.79
CC(=O)Nc1ccc(C)cc1,149.19,,,149.193,541.22,332.72
CNc1ccc(cc1)C(O)=O,151.16,,,151.165,609.98,432.12
Cc1ccc(N)cc1,107.15,200.4,43.6,107.156,463.95,290.85
Cc1ccc(cc1)C(N)=O,135.16,,,135.166,540.7,352.05
Cc1ccc(CCN)cc1,135.21,,,135.21,509.71,313.39
Cc1ccc(CN)cc1,121.18,,,121.183,486.83,302.12
Cc1nonc1N,99.09,,,99.093,503.35,418.18
CC(C)CCCN,101.19,,,101.193,408.97,225.64
NN1CCOCC1,102.14,,,102.137,422.99,292.28
NCCCN1CCOCC1,144.21,,,144.218,491.63,326.09
CCN(CC)c1ccncc1,150.22,,,150.225,498.34,321.62
Cc1cc(ccc1N)[N+]([O-])=O,152.15,,,152.153,620.77,446.98
CC(=O)Nc1ccc(cc1)[N+]([O-])=O,180.16,,,180.163,670.18,465.06
NC(=O)c1ccc(cc1)[N+]([O-])=O,166.13,,,166.136,669.66,484.39
O=N(=O)c(cc1)ccc1Nc1ccc(cc1)N(=O)=O,259.22,,,259.221,891.33,642.76
O=N(=O)c(cc1)ccc1N(c1ccccc1)c1ccc(cc1)N(=O)=O,335.3,,,335.319,1017.56,716.61
O=N(=O)c(cc1)ccc1Nc1ccccc1,214.22,211.0,133.5,214.224,734.51,486.63
NCC1CCNCC1,114.19,,,114.192,477.51,353.05
CCCc1ccc(N)cc1,135.21,,,135.21,509.71,313.39
Nc1ccnnc1,95.10,,,95.105,497.73,387.6
Nc1ccncc1,94.11,273.0,-161.0,94.117,466.91,327.33
NC(=O)c1ccncc1,122.12,,,122.127,543.66,388.53
CC(C)(C)c1ccc(N)cc1,149.23,,,149.237,529.36,327.08
Nc1ccc(C=C)cc1,119.16,,,119.167,483.51,300.36
CN(C)c1cncnc1,123.16,,,123.159,483.4,359.35
CC(N)CCC(F)(F)F,141.13,,,141.136,380.67,218.56
Nc1cccc2CCCCc12,147.22,,,147.221,553.25,355.84
C1CCc2nccnc2C1,134.18,111.0,30.0,134.182,537.38,380.6
NC1=CNC(=O)NC1=O,127.10,,,127.103,624.75,589.5
Nc1ccc(O)c(c1)C(O)=O,153.14,,-280.0,153.137,690.08,563.17
Cn1nnc(N)n1,99.10,,,99.097,510.41,475.35
Cc1noc(N)c1C,112.13,,,112.132,500.39,381.7
NCCCCCO,103.16,,,103.165,478.71,290.19
NCCCCC(O)=O,117.15,,157.5,117.148,532.04,389.97
Nc1ccc(Cl)cn1,128.56,,,128.562,509.32,369.77
Cc1ccc(Cl)cc1N,141.60,237.0,26.0,141.601,506.36,333.29
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,226.27,,130.0,226.276,771.19,644.73
NCCCCCF,105.15,,,105.156,385.8,229.96
Nc1ccc2CCCc2c1,133.19,,,133.194,526.1,348.09
NC1=NC(=O)NC=C1I,237.00,,,237.0,659.36,559.13
Nc1cccc2cnccc12,144.17,,,144.177,582.39,417.63
Cc1onc(N)c1,98.10,,,98.105,472.53,357.91
Nc1ccc(cn1)[N+]([O-])=O,139.11,,,139.114,623.73,483.46
Nc1sc(cn1)[N+]([O-])=O,145.14,,202.0,145.143,622.37,547.13
Cc1ccc(cc1N)[N+]([O-])=O,152.15,,105.5,152.153,620.77,446.98
Nc1cccc2ncccc12,144.17,,,144.177,582.39,417.63
NCCCCCCO,117.19,,,117.192,501.59,301.46
Cn1cnc(N)c2ncnc12,149.15,,,149.157,625.89,565.65
Cc1ccc(N)nc1,108.14,,,108.144,494.77,351.12
Nc1ccc(cn1)C(O)=O,138.12,,,138.126,640.28,511.72
Nc1cc2c3ccccc3ccc2c4ccccc14,243.3,,,243.309,782.53,537.96
NCCCCCC(N)=O,130.19,,,130.191,535.81,373.83
NCCCCCC#N,,,,112.176,511.49,305.63
Nc1nc(N)cc(O)n1,126.12,,286.0,126.119,655.86,595.1
Nc1ccc2ncsc2c1,150.20,,,150.206,581.03,481.3
Cc1cccc(N)n1,108.14,,,108.144,494.77,351.12
Cc1cc(N)ncn1,109.13,,,109.132,525.59,411.39
Cc1cncc(N)n1,109.13,,,109.132,525.59,411.39
Nc1ccc2ncccc2c1,144.17,,,144.177,582.39,417.63
Nc1cnc2cncnc2n1,147.14,,,147.141,674.85,598.44
Nc1cccc2ccc(O)cc12,159.18,,,159.188,632.19,469.08
NCCCCCCCC(O)=O,159.23,,,159.229,600.68,423.78
Nc1cccc2cccnc12,144.17,,,144.177,582.39,417.63
CN(C)c1c2ccccc2nc2ccccc12,222.28,,,222.291,683.54,479.68
Cn1cnc2c(N)ncnc12,149.15,,,149.157,625.89,565.65
CC(N)=O,59.07,222.0,81.16,59.068,371.76,245.49
CC(=O)NO,75.07,,-92.0,75.067,441.58,275.71
CC(=O)NCCO,103.12,-167.0,-65.0,103.121,487.34,298.25
Nc1ncnc2nc[nH]c12,135.13,,360.0,135.13,643.39,623.42
CCC(c1ccccc1)C(=O)N,163.22,,,163.22,581.04,347.07
FCC(=O)NC,91.08,,,91.085,371.55,226.75
CCc1cccc(CC)c1N(COC)C(=O)CCl,269.77,100.0,-41.0,269.772,682.72,433.55
NCCCC=C,85.15,,,85.15,383.21,227.61
NCCC=C,71.12,,,71.123,360.33,216.34
NCCCCC=C,99.17,,,99.177,406.09,238.88
NC(=O)NCC=C,100.12,,,100.121,464.37,318.93
COc1ccc(cc1)C=N(c1ccccc1)=O,227.26,,,227.263,604,383.51
NC(C(O)=O)c1ccccc1,151.16,,290.0,151.165,626.92,435.2
CC(C)(N)C(O)=O,103.12,,335.0,103.121,505.93,381.12
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,430.7,210.0,3.0,430.717,1027.22,624.7
[Cl-].NC12CC3CC(CC(C3)C1)C2.[H+],187.71,,,187.714,559.12,369.23
CCNc1nc(NC(C)C)nc(SC)n1,227.33,337.0,83.6,227.337,771.94,581.99
[O-][N+](=O)c1[nH]ccn1,113.08,,,113.076,545.58,472.93
CCOC(CN)=O,103.12,,,103.121,421.87,260.43
NCC#N,,,,56.068,419.97,260.55
CCCCC(N)C(O)=O,131.17,,,131.175,554.48,386.24
Nc1[nH]nnn1,85.07,,,85.07,527.91,533.12
Nc1csnn1,101.13,,,101.134,496.37,451.27
Nc1[nH]ncn1,84.08,,159.0,84.082,497.09,472.85
Nc1ccccc1,93.13,184.1,-6.0,93.129,436.09,267.06
Oc(cc1Oc2ccccc2)c2c(C(=O)c3ccccc3C2=O)c1N,331.3,,,331.327,1075.51,823.85
OCC(O)C1OC(=O)C(O)=C1O,176.12,,,176.124,779.24,471.73
N[C@@H](CC(N)=O)C(O)=O,132.12,,-235.0,132.119,635.12,496.89
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(O)=O,294.30,,,294.307,926.02,632.74
N[C@@H](CC(O)=O)C(O)=O,133.10,,-271.0,133.103,654.23,524.3
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,,148.0,266.341,841.87,525.38
CCNc1nc(Cl)nc(NC(C)C)n1,215.68,205.0,177.0,215.688,717.71,566.24
CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,289.4,,,289.375,790.72,456.51
NCCC#N,,,,70.095,442.85,271.82
NC(=O)c1ccccc1,121.14,288.0,130.0,121.139,512.84,328.26
NC(=O)Cc1ccccc1,135.16,,,135.166,535.72,339.53
O=CCCc1ccccc1,134.17,98.0,47.0,134.178,480.86,259.61
OCCCc1ccccc1,136.19,241.0,-18.0,136.194,524.38,278.43
Nc1ccc(cc1)c2ccc(N)cc2,184.24,401.0,120.0,184.242,682.54,469.4
CCOC(=O)c(cc1)ccc1N,165.19,310.0,92.0,165.192,567.93,355.72
Nc1nc(N)nc(n1)c2ccccc2,187.20,,-228.0,187.206,775,650.21
ONC(=O)c1ccccc1,137.14,,,137.138,582.66,358.48
OCc(ccc1)cc1N,123.15,,,123.155,556.13,351.67
NCc1ccccc1,107.15,185.0,10.0,107.156,458.97,278.33
NCCCc1ccccc1,135.21,,,135.21,504.73,300.87
NCCc1ccccc1,121.18,197.5,0.0,121.183,481.85,289.6
NC(=O)NCc1ccccc1,150.18,,,150.181,585.89,392.19
NCCC(O)=O,89.09,,200.0,89.094,486.28,367.43
CC(=O)c1cccc(N)c1,135.16,,,135.166,540.7,352.05
CN(C)C(C)C(O)c1ccccc1,179.26,,87.5,179.263,581.7,303.44
OC(=O)CCc1ccccc1,150.17,280.0,48.0,150.177,577.71,378.21
OC(=O)CCCCC1SCC2NC(=O)NC12,244.31,,,244.316,804.01,749.39
[O-][N+](=O)C(CNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,343.12,,,343.121,1245.87,1054
CC(CNCC(C)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,281.18,,,281.181,987.95,789.32
NCCOCCN,104.15,,,104.153,458.6,323.59
Cc1occc1SSc2ccoc2C,226.3,280.0,,226.322,676.32,407.8
FC(F)N(C(F)F)C(F)(F)F,185.04,,,185.042,271.46,132.59
CCN(CC)c1ccc(cc1)C(=O)c2ccc(cc2)N(CC)CC,324.5,,,324.468,822.15,519.18
CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C,268.35,360.0,172.0,268.36,730.63,474.1
NC(=O)NNC(N)=O,118.10,,258.0,118.096,598.5,484
NC(=O)CBr,137.96,,,137.964,437.92,305.29
Oc1c(Br)cc(Br)c2cccnc12,302.95,,,302.953,727.78,578.21
CCCC(N)=O,87.12,216.0,-116.0,87.122,417.52,268.03
CCC(C)(N)N,88.15,,,88.154,432.95,303.78
