,SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,EnthalpyForm,GibbsEnergy,HeatCapacity,EnthalpyVap,EnthalpyFus,LiquidVisco,CrystalSolub_1,CrystalSolub_2,AmorphSolub_1,AmorphSolub_2,Molecular Weight,Log P,Molecular Refractivity,TPSA,LabuteASA,FractionCSP3,HallKierAlpha,HeavyAtomMolWt,Ipc,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,Num_of_Atoms,Num_Hetero_Atoms,Num_H_Donors,Num_H_Acceptors,Num_Rot_Bonds,Num_Valence_Electrons,Heavy_Atom_Count,NHOHCount,NOCount,RingCount,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_ArN,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_COO,fr_COO2,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_HOCCN,fr_imidazole,fr_imide,fr_Imine,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_NH0,fr_NH1,fr_NH2,fr_Nhpyrrole,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_SH,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
70,C[Si](C)(CN)CN,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,118.256,-0.3094,35.5908,52.04,65.79665954,1,0.136883117,104.144,7065.873815,332.1507471,6.912670285,0.662856912,2.445857016,2.78867979,21,3,2,2,6,44,7,4,2,0,0,0,0,0,0,0,0,0,0,17.65470054,17.39442719,4.394427191,8.886751346,8.236067977,3.447213595,0.973606798,2.920820393,0.335410197,1.00623059,0.025,0.075,44.70390647,0,0,0,0,0,0,0,19.35495388,0,0,11.43943395,0,0,0,0,12.95033254,12.24026768,13.70758556,8.073872301,5.647368313,0,0,0,0,19.35495388,0,0,11.43943395,12.95033254,12.24026768,0,0,0,8.073872301,11.43943395,20.31413998,0,0,13.70758556,0,18.59770086,0,0,0,0,0,102.3199228,0,0,-1.64029321,0,0,-7.457638889,-7.515972222,-6.011574074,-6.011574074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,NC/C=C/Cl,382.36,231.67,584.2934089,48.62971198,261.5,50.02,109.12,94.8012561,37.256,13.122,NA,535569.2729,268420.4823,76240.20181,38210.61584,91.541,0.6976,24.0474,26.02,44.96862541,0.333333333,-0.01,85.493,146.3659624,172.6662091,4.704810047,0.796004202,3.99,3.99,11,2,1,1,2,30,5,2,1,0,0,0,0,0,0,0,0,0,0,9.232050808,8.325178069,3.081107015,4.797434948,3.807016225,1.290553507,0.331294517,0.520276754,0.103147259,0.197638377,0.021128856,0.063386569,18.060185,5.719716976,0,0,0,0,0,0,19.90765827,0,0,5.719716976,0,0,0,0,17.65301164,0,14.74963036,2.741517112,2.823684157,0,0,0,0,8.306718381,0,0,5.719716976,0,6.496859684,11.56332531,0,0,11.60093989,5.719716976,6.496859684,0,0,5.483034225,11.56332531,2.823684157,0,0,0,0,11.60093989,40.35650463,0,0,-1.119259259,0,-0.898919753,0,-2.626157407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,C/C=C/N,344.93,201.75,537.4153111,51.2397719,212.5,65.76,121.05,81.46324538,32.871,8.925,NA,1101300.113,551957.557,87115.94962,43661.4018,57.096,0.4787,19.0014,26.02,36.07032969,0.333333333,-0.46,50.04,136.6196901,167.0147246,4.673239348,0.250942341,2.54,1.54,11,1,1,1,2,24,4,2,1,0,0,0,0,0,0,0,0,0,0,9.232050808,8.947213595,1.947213595,4.764742878,4.118033989,0.723606798,0.236803399,0.236803399,0.055901699,0.055901699,0,0,19.07997039,5.719716976,0,0,0,0,0,0,9.677476938,0,0,5.719716976,0,0,0,0,6.052071746,13.02789865,4.112275669,2.741517112,0,2.823684157,0,0,0,9.677476938,0,0,5.719716976,6.851892117,0,12.22807828,0,0,0,5.719716976,0,0,0,13.7056849,12.22807828,2.823684157,0,0,0,0,0,46.44530093,0,0,-0.213587963,0,-0.997685185,-0.939814815,-2.71087963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CNCC#N,420.49,241.22,618.7224207,43.39667512,264.5,113.1,196.95,92.11463709,39.186,10.041,NA,3059194.15,1533229.053,942060.0963,472148.4936,70.095,-0.27062,19.5397,35.82,39.89945675,0.666666667,-0.55,64.047,130.9251359,177.246867,4.520794282,0.593109095,3.45,3.45,11,2,1,2,2,28,5,1,2,0,0,0,0,0,0,0,0,0,0,9.28445705,8.394427191,2.394427191,4.71536071,3.868033989,0.920820393,0.335410197,0.335410197,0.105901699,0.105901699,0.025,0.025,13.47268658,5.309813353,0,6.069221313,0,0,0,0,13.52752641,0,0,5.309813353,0,0,5.261891555,0,0,6.9758269,4.112275669,15.30759811,1.411842078,0,0,0,0,8.265634859,5.261891555,5.309813353,0,0,13.47268658,0,0,6.069221313,0,5.309813353,13.47268658,0,11.33111287,6.853792781,0,1.411842078,0,0,0,0,0,39.87284722,0,7.743888889,0,0,1.059375,0,-5.676111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,C=NCC#N,439.52,NA,651.5979115,36.90968495,NA,150.06,NA,NA,35.436,NA,NA,NA,NA,NA,NA,68.079,0.21058,20.029,36.15,36.37691942,0.333333333,-0.84,64.047,55.4868683,163.1417863,4.238012756,0.810291814,3.16,3.16,9,2,0,2,1,26,5,0,2,0,0,0,0,0,0,0,0,0,0,7.491563832,6.394427191,2.394427191,3.977162391,2.920820393,0.920820393,0.335410197,0.335410197,0.105901699,0.105901699,0.025,0.025,13.16647912,0,0,0,6.069221313,0,0,4.992404733,10.74492578,0,0,0,4.992404733,0,5.261891555,0,0,6.669619435,0,11.55225554,6.496859684,0,0,0,0,5.483034225,5.261891555,0,4.992404733,0,6.496859684,0,0,6.069221313,6.669619435,0,13.16647912,0,11.33111287,5.483034225,4.992404733,0,0,0,0,0,0,25.89097222,2.75,7.944166667,0,0,1.178472222,0,-3.346944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CN=C,314.56,NA,498.8837207,42.99919377,NA,5.82,NA,NA,22.732,NA,NA,NA,NA,NA,NA,43.069,0.3168,15.473,12.36,27.02436813,0.5,-0.33,38.029,23.0053905,97.48652234,3.886007122,0.16737575,1.67,1.67,8,1,0,1,1,18,3,0,1,0,0,0,0,0,0,0,0,0,0,6.78445705,6.447213595,1.447213595,3.416502219,2.947213595,0.447213595,0.111803399,0.111803399,0,0,0,0,13.64544633,0,0,0,0,0,0,4.992404733,6.853792781,0,0,4.992404733,0,0,0,0,0,6.669619435,11.08810257,2.741517112,0,0,0,0,0,6.853792781,0,0,4.992404733,0,6.9758269,0,0,0,6.669619435,0,13.64544633,0,0,6.853792781,4.992404733,0,0,0,0,0,0,31.68402778,2.659722222,0,0,0,0,0,-3.427083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,NCN=C,387.09,NA,591.1576054,46.40319551,NA,59.61,NA,NA,33.373,NA,NA,NA,NA,NA,NA,58.084,-0.3968,18.6034,38.38,33.88534259,0.5,-0.37,52.036,78.54953236,136.6832425,4.268936318,0.337129325,2.63,1.63,10,2,1,2,2,24,4,2,2,0,0,0,0,0,0,0,0,0,0,8.36180732,7.894427191,1.894427191,4.359877892,3.565247584,0.670820393,0.211803399,0.211803399,0.05,0.05,0,0,13.2904139,5.719716976,0,0,0,0,0,4.992404733,8.306718381,0,0,5.719716976,4.992404733,0,0,0,0,6.669619435,0,12.10382869,2.823684157,0,0,0,0,8.306718381,0,0,10.71212171,0,6.620794467,0,0,0,6.669619435,5.719716976,13.2904139,0,0,5.483034225,4.992404733,2.823684157,0,0,0,0,0,39.07263889,2.743055556,0,-0.309444444,0,0,0,-3.589583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CCC[C@@H](N)C(F)(F)F,380.67,218.56,548.218643,32.69041102,381.5,-695.1,-526.36,165.9806366,33.23,12.206,NA,117337.7631,58808.1889,10226.04422,5125.162813,141.136,1.6761,28.9384,26.02,66.20133466,1,-0.25,131.056,3144.125585,335.0372757,6.131781504,1.668071811,3.055570579,3.346734694,19,4,1,1,4,56,9,2,1,0,0,0,0,0,0,0,0,0,0,16.07735027,14.08110701,4.081107015,7.943375673,6.684980698,1.790553507,1.096365867,1.096365867,0.449411515,0.449411515,0.130069188,0.130069188,37.51164988,0,0,0,0,0,0,0,13.78975261,13.17124514,0,5.719716976,0,0,13.17124514,0,13.22481702,6.372924901,9.595309893,1.370758556,8.841576625,0,0,0,6.176298517,26.96099775,0,0,5.719716976,31.79193291,0,0,0,0,0,5.719716976,12.19419099,0,0,30.56381037,0,2.823684157,0,0,13.17124514,0,0,106.5260417,0,0,-1.392291667,0,-4.710416667,-14.35791667,-3.815416667,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CC(C)C[C@@H](N)C(F)(F)F,403.11,214.83,573.9369658,29.63341393,431.5,-721.02,-520.38,188.6503712,35.068,11.273,NA,79778.92277,39984.17761,6939.29858,3477.887858,155.163,1.9221,33.4854,26.02,75.37621777,1,-0.25,143.067,10353.21708,396.5553312,6.726478735,1.733742198,3.232891196,3.714497041,22,4,1,1,5,62,10,2,1,0,0,0,0,0,0,0,0,0,0,18.57735027,16.58110701,4.581107015,9.193375673,7.934980698,2.040553507,1.346365867,1.346365867,0.511911515,0.511911515,0.189270038,0.189270038,43.88457478,0,0,0,0,0,0,0,16.53126972,13.17124514,0,5.719716976,0,0,13.17124514,0,13.70378423,12.26688259,12.33682701,1.370758556,8.841576625,0,0,0,6.176298517,29.70251486,0,0,11.61367466,32.27090012,0,0,0,0,0,5.719716976,12.19419099,0,5.893957685,33.7842947,0,2.823684157,0,0,13.17124514,0,0,123.2414583,0,0,-1.492291667,-4.412083333,-4.926041667,-10.70729167,-8.20375,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CC(C)(C)[C@@H](N)C(F)(F)F,400.32,232.25,578.2143446,29.9915184,426.5,-724.49,-515.1,188.5391408,34.16,7.382,NA,53418.06693,26772.45319,18110.11802,9076.559949,155.163,1.9221,33.4854,26.02,75.37621777,1,-0.25,143.067,8777.028622,369.0064561,7.221933021,1.733742198,2.41561333,2.557605251,22,4,1,1,1,62,10,2,1,0,0,0,0,0,0,0,0,0,0,18.57735027,16.58110701,4.581107015,9.193375673,7.934980698,2.040553507,1.596365867,1.596365867,0.623714914,0.623714914,0.212605016,0.212605016,43.88457478,0,0,0,0,0,0,0,16.53126972,13.17124514,0,5.719716976,0,0,13.17124514,0,20.55567635,5.414990469,12.33682701,1.370758556,8.841576625,0,0,0,6.176298517,29.70251486,0,0,11.13470745,32.74986734,0,0,0,0,0,5.719716976,12.19419099,0,5.414990469,34.26326191,0,2.823684157,0,0,13.17124514,0,0,124.056875,0,0,-6.277916667,0,-5.067708333,-6.13125,-13.08,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CN[C@H](C)C(F)(F)F,335.43,176.69,492.4916496,34.72452513,331.5,-674.78,-511.84,139.1870049,26.799,9.428,NA,916592.5057,459384.4623,11210.13779,5618.377945,127.109,1.1566,24.5767,12.03,57.1783664,1,-0.25,119.045,826.1121455,239.4797126,5.63364459,1.623024993,2.347633136,2.159989594,16,4,1,1,3,50,8,1,1,0,0,0,0,0,0,0,0,0,0,13.57735027,11.58110701,3.581107015,6.654700538,5.461373901,1.514160305,0.958169266,0.958169266,0.380313214,0.380313214,0.063386569,0.063386569,31.33172336,0,0,0,0,0,0,0,11.00715197,13.17124514,0,5.309813353,0,0,13.17124514,0,0,13.82771902,8.224551337,1.370758556,7.429734547,0,0,0,6.176298517,24.17839711,0,5.309813353,0,19.0460831,6.9758269,0,0,0,0,5.309813353,19.17001789,0,0,16.44720201,0,1.411842078,0,0,13.17124514,0,0,90.0975,0,-1.229166667,0,0,-4.494791667,-5.7,-7.673541667,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,N[C@@H](CC(F)(F)F)C(F)(F)F,352.37,211.48,503.9430465,31.95540559,368.5,-1271.54,-1116.37,167.6489341,27.257,11.442,NA,124786.639,62541.47037,8721.230332,4370.969304,181.079,1.8284,24.7024,26.02,65.30814625,1,-0.46,176.039,888.7019984,260.6249596,5.74918492,4.537415468,2.881124909,4.882135679,16,7,1,1,2,68,11,2,1,0,0,0,0,0,0,0,0,0,0,13.57735027,9.715000434,4.715000434,6.693375673,4.501927408,2.107500217,1.469124936,1.469124936,0.528648192,0.528648192,0.205123246,0.205123246,30.46313138,0,0,0,0,0,0,0,6.935959825,26.34249029,0,5.719716976,0,0,26.34249029,0,0,0,2.741517112,7.743683457,8.841576625,0,0,0,12.35259703,33.27845011,0,0,5.719716976,24.7434144,0,0,0,0,0,5.719716976,18.3704895,0,0,10.48520057,0,2.823684157,0,0,26.34249029,0,0,103.9160417,0,0,-1.652291667,0,-5.057291667,-17.20645833,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,C/C=C(/N)O,436.99,248.61,626.5043887,59.17159763,232.5,-96.26,-24.32,94.56853224,49.63,11.703,NA,623573.5283,312527.0916,202609.2223,101545.1556,73.095,0.3644,20.5732,46.25,40.9512337,0.333333333,-0.66,66.039,228.2124915,183.5807348,4.85372542,0.452836667,1.639401198,3.34,12,2,2,2,3,30,5,3,2,0,0,0,0,0,0,0,0,0,0,9.939157589,9.355461886,2.355461886,5.30274768,4.230406424,0.927730943,0.430152564,0.430152564,0.106932736,0.106932736,0,0,18.78706352,5.719716976,0,0,0,0,0,5.108808191,9.737918039,0,0,10.82852517,0,0,0,0,0,12.90396386,4.112275669,1.370758556,0,8.706783811,0,1.431199657,0,13.41552657,1.431199657,0,5.719716976,6.851892117,0,11.9351714,0,0,0,5.719716976,5.108808191,0,0,12.33492634,11.9351714,2.823684157,1.431199657,0,0,0,0,46.42634259,0,3.633078704,-0.234421296,-0.935185185,-1.039351852,0,-2.76712963,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,NC\C=C/Cl,382.36,231.67,584.2934089,48.62971198,261.5,50.02,109.12,94.8012561,37.256,13.122,NA,535569.2729,268420.4823,76240.20181,38210.61584,91.541,0.6976,24.0474,26.02,44.96862541,0.333333333,-0.01,85.493,146.3659624,172.6662091,4.704810047,0.796004202,3.99,3.99,11,2,1,1,2,30,5,2,1,0,0,0,0,0,0,0,0,0,0,9.232050808,8.325178069,3.081107015,4.797434948,3.807016225,1.290553507,0.331294517,0.520276754,0.103147259,0.197638377,0.021128856,0.063386569,18.060185,5.719716976,0,0,0,0,0,0,19.90765827,0,0,5.719716976,0,0,0,0,17.65301164,0,14.74963036,2.741517112,2.823684157,0,0,0,0,8.306718381,0,0,5.719716976,0,6.496859684,11.56332531,0,0,11.60093989,5.719716976,6.496859684,0,0,5.483034225,11.56332531,2.823684157,0,0,0,0,11.60093989,40.35650463,0,0,-1.119259259,0,-0.898919753,0,-2.626157407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
