,SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,EnthalpyForm,GibbsEnergy,HeatCapacity,EnthalpyVap,EnthalpyFus,LiquidVisco,CrystalSolub_1,CrystalSolub_2,AmorphSolub_1,AmorphSolub_2,Molecular Weight,Log P,Molecular Refractivity,TPSA,LabuteASA,FractionCSP3,HallKierAlpha,HeavyAtomMolWt,Ipc,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,Num_of_Atoms,Num_Hetero_Atoms,Num_H_Donors,Num_H_Acceptors,Num_Rot_Bonds,Num_Valence_Electrons,Heavy_Atom_Count,NHOHCount,NOCount,RingCount,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_ArN,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_COO,fr_COO2,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_HOCCN,fr_imidazole,fr_imide,fr_Imine,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_NH0,fr_NH1,fr_NH2,fr_Nhpyrrole,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_SH,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NCc1ccccc1,458.97,278.33,685.6948212,44.32616254,348.5,102.51,186.92,127.8935397,44.093,13.124,NA,76368.89268,38275.11406,51161.86912,25641.67565,107.156,1.1453,34.3334,26.02,61.8970837,0.142857143,-0.82,98.084,3368.479354,426.1429707,3.664540481,1.047476672,2.478228729,1.073981897,17,1,1,1,2,42,8,2,1,1,1,0,0,1,0,0,0,0,0,13.54145188,12.9472136,3.947213595,7.618802154,6.368033989,1.973606798,1.111803399,1.111803399,0.611803399,0.611803399,0.305901699,0.305901699,42.27240471,5.719716976,0,0,0,0,0,0,12.41899405,0,0,5.719716976,0,0,0,0,30.21209354,5.563451492,9.238376797,6.853792781,2.823684157,0,0,0,0,12.41899405,0,0,5.719716976,6.496859684,0,35.77554503,0,0,0,5.719716976,0,6.496859684,0,15.15876138,30.21209354,2.823684157,0,0,0,0,0,65.58519558,0,0,-1.046780045,0,-3.504156274,0,-2.784259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CNC1CCCCC1,429.48,228.69,636.3577742,35.77070122,395.5,-80.02,121.9,147.3396768,38.041,10.73,NA,102320.2924,51281.62431,18517.54396,9280.756633,113.204,1.5385,35.9327,12.03,72.60554888,1,-0.04,98.084,23027.62485,458.5440853,3.899188638,0.731455281,3.079539222,1.47805616,23,1,1,1,2,48,8,1,1,1,0,1,1,0,0,1,0,1,0,19.07735027,18.9472136,3.947213595,9.654700538,9.394427191,1.947213595,1.085410197,1.085410197,0.598606798,0.598606798,0.299303399,0.299303399,50.16815723,0,0,0,0,0,0,0,20.60246186,0,0,5.309813353,0,0,0,0,19.1187747,19.7216767,25.20851225,0,1.411842078,0,0,0,0,20.60246186,0,5.309813353,0,37.88251697,6.9758269,0,0,0,0,5.309813353,12.99371937,0,0,51.05524429,0,1.411842078,0,0,0,0,0,113.1459864,0,-0.814583333,0,0,-3.898958333,-19.11167517,-3.570769558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ONc1ccccc1,505.91,297.28,710.4586561,54.2251123,317.5,-29.4,64.62,114.0766496,54.341,14.434,NA,22852.63041,11453.44662,22531.85744,11292.6793,109.128,1.4877,31.8512,32.26,57.70905795,0,-1.02,102.072,1763.22878,366.5521791,3.520827524,1.277154529,2.328917406,0.978234136,15,2,2,2,2,42,8,2,2,1,1,0,0,1,0,0,0,0,0,11.74855867,10.85546189,3.855461886,6.91279002,5.26164287,1.906180984,1.064893891,1.064893891,0.578090492,0.578090492,0.289045246,0.289045246,35.89947981,5.473121347,0,0,0,0,0,5.209533821,9.696834516,0,0,0,10.68265517,0,0,0,18.12725612,12.08483742,0,12.54117906,0,1.411842078,1.431199657,0,0,14.90636834,0,0,0,0,5.473121347,30.21209354,0,0,5.687386275,5.473121347,5.209533821,0,0,6.853792781,30.21209354,2.843041736,0,0,5.687386275,0,0,50.05215797,0,3.729850718,-0.434074074,0,-2.847934618,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CCCN,340.77,206.83,522.87266,47.62809696,232.5,-51.46,40.83,95.87264632,32.913,8.723,NA,1348266.22,675733.8168,144288.7881,72315.69854,59.112,0.3551,19.3454,26.02,39.56987372,1,-0.04,50.04,260.6586159,179.7890606,5.039847129,0.242558361,2.96,1.96,13,1,1,1,3,26,4,2,1,0,0,0,0,0,0,0,0,0,0,11.07735027,10.9472136,1.947213595,5.443375673,5.118033989,0.723606798,0.236803399,0.236803399,0.055901699,0.055901699,0,0,25.44139368,0,0,0,0,0,0,0,12.41899405,0,0,5.719716976,0,0,0,0,6.851892117,12.86978459,9.595309893,0,2.823684157,0,0,0,0,12.41899405,0,0,5.719716976,13.22481702,6.496859684,0,0,0,0,5.719716976,6.496859684,0,0,22.82012691,0,2.823684157,0,0,0,0,0,60.988125,0,0,-0.583958333,0,0,-3.260416667,-6.39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CN(C)c1ccc(N(C)C)cc1[N+](=O)[O-],641.76,462.47,869.8421435,28.62736645,605.5,88.16,383.58,242.0283061,62.131,32.322,NA,563.2009662,282.2691342,11175.48487,5601.010348,209.249,1.7268,61.7504,49.62,110.1383721,0.4,-1.78,194.129,504818.7652,809.7655353,4.24209563,2.478904798,4.164378092,2.36727421,30,5,0,4,7,82,15,0,5,1,1,0,0,1,0,0,0,0,0,24.19615242,22.15813737,7.158137367,13.04145188,10.93039596,3.430395956,2.348750572,2.348750572,1.390197978,1.390197978,0.785923818,0.785923818,77.81585306,0,0,0,0,0,0,0,20.56137834,10.11431827,0,9.799819462,10.11431827,0,0,0,0,12.08483742,56.08221526,9.035586717,5.687386275,0,0,5.687386275,0,25.48468939,0,0,0,0,37.70312706,28.24157439,0,0,17.06215882,9.799819462,32.82661865,0,10.11431827,20.56137834,18.12725612,0,0,0,17.06215882,0,0,112.3350227,9.215026455,11.58587113,-4.474058012,0,-4.368935185,0,-14.29292706,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
