Mol. wt.,CRC Vc /(cm3 mol-1) Discrepancy
41.053,-0.5
57.09600000000002,3.5
105.13699999999994,7.5
93.12899999999996,-1.5
103.16899999999994,-2.5
88.15399999999995,-0.5
73.13899999999995,2.5
73.13899999999995,15.5
99.17699999999994,15.5
73.13899999999995,9.5
101.19299999999993,12.5
121.18299999999992,13.5
107.15599999999996,-5.5
107.15599999999992,-15.5
107.15599999999996,-15.5
107.15599999999996,0.5
157.2160000000001,-9.5
101.19299999999993,7.5
60.100000000000016,-1.5
61.08400000000002,11.5
45.085000000000015,6.5
115.21999999999991,4.5
116.20799999999991,16.5
97.16099999999994,-19.5
101.19299999999993,1.5
59.11200000000002,4.5
129.16199999999998,-22.5
31.058,18.5
107.15599999999996,28.5
107.15599999999996,-2.5
107.15599999999996,-14.5
107.15599999999992,-7.5
135.21000000000004,16.5
143.18900000000005,-11.5
61.04000000000001,1.5
144.26200000000014,5.5
125.21499999999992,-15.5
129.24699999999993,-18.5
69.06299999999999,-2.5
83.13399999999996,-21.5
86.13799999999995,15.5
85.14999999999995,7.5
74.12699999999995,-4.5
55.08000000000001,-18.5
59.11200000000002,-2.5
80.08999999999997,-24.5
79.10199999999998,-8.5
67.09099999999998,11.5
71.12299999999998,20.5
129.16199999999998,-20.5
101.19299999999993,2.5
95.023,-14.5
59.112000000000016,32.5
