Property,Model,Kernel,Anisotropic?,LML,Test_MAPD,Train_MAPD,Test_MAE,Train_MAE,Test_R2,Train_R2
Tm,1,RQ,False,-4085.5395287881624,12.5037902238173,13.10571439575645,41.90811421824339,42.33606584372972,0.7105347374875495,0.7108190178976206
Tm,2,RQ,False,-6156.285253274621,15.981377719868043,17.537861190658383,55.98286939865395,60.579759999684,0.3311615943293531,0.3259193697647699
Tm,3,RQ,False,-4094.3852829220746,12.562230144383294,13.143416354559134,42.09019584897041,42.45344116723967,0.7069561452794386,0.7096245651704093
Tm,4,RQ,False,-4080.325998826774,12.493545310949832,13.100443655468979,41.87491956637454,42.32298312511017,0.7108255186387487,0.7111008560840111
Tm,1,RBF,False,-4100.159678816515,12.632984581555643,13.272145463077795,42.30990612125652,42.839081143784774,0.706893185061559,0.7047958776497827
Tm,2,RBF,False,-6159.380656926476,16.070812737696123,17.566367590257627,56.524737751196135,60.69313579274573,0.14974264475400556,0.3203995065375975
Tm,3,RBF,False,-4110.551543604357,12.680874573201834,13.30242704554219,42.515888461942,42.99198062529794,0.7012839896693319,0.7029508215964158
Tm,4,RBF,False,-4091.815213172737,12.524920068144937,13.130732899921579,41.98086804970673,42.41327300552075,0.7099468730048784,0.7099687463824549
Tm,1,Matern12,False,-4078.1292648237877,12.447806249839331,12.61518937141442,41.7555229216391,40.7117365597059,0.7114088753182276,0.7312628933092697
Tm,2,Matern12,False,-5987.702169236774,15.840971720588707,12.303310150104007,55.13621566066874,41.294240590512004,0.24739197198141671,0.7232642591192193
Tm,3,Matern12,False,-4084.262144261771,12.469439502436416,12.567734427341131,41.840425780538,40.57164616120002,0.709875778043046,0.7330836670888683
Tm,4,Matern12,False,-4072.9462147303248,12.44673469712551,12.666355616844486,41.74710584989408,40.88956425091357,0.7115296083442721,0.7290946391813343
Tm,1,Matern32,False,-4080.19780809448,12.508400416643243,13.105355677911321,41.91636203467589,42.34207912081795,0.7103501694070185,0.7106834862372655
Tm,2,Matern32,False,-6161.022682008258,16.04095602722851,17.4766927729755,56.212871321761874,60.35086378508887,0.3043515599283181,0.33258553942447056
Tm,3,Matern32,False,-4084.1339428323317,12.543717863106988,13.147692811921111,42.01769838221177,42.47433769308896,0.7092684090066899,0.7092761200049138
Tm,4,Matern32,False,-4076.281731899854,12.487329867003059,13.085274275280145,41.847786926741996,42.28017405598517,0.7109578937980092,0.7115195690635112
Tm,1,Matern52,False,-4087.602545288867,12.548985948686104,13.159168190225861,42.03626822607911,42.50495883262699,0.7092844914669053,0.7088002274253913
Tm,2,Matern52,False,-6158.4812511197115,16.05479016807727,17.533503730777316,56.329972572408465,60.56712067158323,0.24676040048816494,0.3262047052606064
Tm,3,Matern52,False,-4094.9180863336933,12.622540360521258,13.243400195914646,42.27170076185895,42.766333262408494,0.7060127523249959,0.7058973690344839
