Timestamp,Property,Unit,Dataset,N_Total,N_Outliers,Outlier_Percentage,R2_with_outliers,MAE_with_outliers,RMSE_with_outliers,MAPE_with_outliers,R2_without_outliers,MAE_without_outliers,RMSE_without_outliers,MAPE_without_outliers,R2_improvement_pct,MAE_improvement_pct,RMSE_improvement_pct,MAPE_improvement_pct,N_Train,N_Outliers_Train,Outlier_Percentage_Train,R2_Train,MAE_Train,RMSE_Train,MAPE_Train,N_Test,N_Outliers_Test,Outlier_Percentage_Test,R2_Test,MAE_Test,RMSE_Test,MAPE_Test,R2_Diff,MAE_Diff,RMSE_Diff
2025-09-30 22:09:46,Tb,K,Test,193.0,10.0,5.181347150259067,0.6347763410548111,30.29860990244785,43.38741076233057,6.775265544291607,0.7555843095202769,25.267148835519613,31.68792099879573,5.432355789823959,19.03158020425251,16.606243927124012,26.96517159694734,19.82076932171457,,,,,,,,,,,,,,,,,
2025-09-30 22:09:46,Tb,K,Training,771.0,39.0,5.058365758754864,0.6447290176113665,32.527126234466714,46.97420204416833,7.086573432775062,0.7735539584084126,27.516670046957408,34.412573710721816,5.67046159671178,19.981253717154694,15.403931326094453,26.741547033912827,19.98302634548077,,,,,,,,,,,,,,,,,
2025-09-30 22:09:59,Tm,K,Test,387.0,20.0,5.167958656330749,0.4444838522724449,51.90810506055832,65.38748334033986,15.41891227408146,0.445349777053557,48.01527790509051,60.36797097131145,12.93604758421181,0.1948158018981017,7.499459190286887,7.676564554261855,16.102722719573674,,,,,,,,,,,,,,,,,
2025-09-30 22:09:59,Tm,K,Training,1545.0,78.0,5.048543689320388,0.4415288044041824,52.26399972901496,67.41685945942866,14.901255836794505,0.4637549062329201,48.03144898097462,61.35404528140546,12.4571763971387,5.033896227615451,8.098405728581433,8.993023743076897,16.40183529780643,,,,,,,,,,,,,,,,,
2025-09-30 22:10:05,Pc,Bars,Test,15.0,1.0,6.666666666666667,0.8487779290164473,4.09842659162483,5.577562443694241,11.459318542553095,0.8898159598829344,3.554240798384311,4.85025260128309,9.741688114425486,4.834954993945399,13.27791973516293,13.039922900969342,14.988940413422952,,,,,,,,,,,,,,,,,
2025-09-30 22:10:05,Pc,Bars,Training,58.0,3.0,5.172413793103448,0.8701882572518896,3.0633817737443296,4.458381903327504,6.728461032902527,0.8993777470286867,2.6947444277470014,3.908477923792014,5.851598233884368,3.3543879193427992,12.033673019695089,12.334160497221426,13.03214501399732,,,,,,,,,,,,,,,,,
2025-09-30 22:10:07,Vc,(cm3,Test,14.0,1.0,7.142857142857142,0.9886122618883182,8.334930389518364,11.508547120594384,2.4488799795856395,0.9935861531801268,6.715705335253255,8.730069291536573,2.0777569602132324,0.5031185110235451,19.42697753422601,24.142733222039507,15.15480637949446,,,,,,,,,,,,,,,,,
2025-09-30 22:10:07,Vc,(cm3,Training,55.0,3.0,5.454545454545454,0.9907388205347772,13.233343212223206,16.13465775330536,4.616623034817699,0.9927805242051502,11.994623964206696,14.11991301466427,3.7074020501272296,0.2060789007208647,9.360591863682217,12.487062133241382,19.694503489526785,,,,,,,,,,,,,,,,,
2025-09-30 22:10:08,Tc,K,Test,15.0,1.0,6.666666666666667,0.2888084059431144,43.80836100982435,63.53172075305707,6.781452899818628,0.5930025445772087,35.0337769707611,48.38175929416239,5.162705876298483,105.32731470911908,20.02947345392694,23.84629485762148,23.87020963551097,,,,,,,,,,,,,,,,,
2025-09-30 22:10:08,Tc,K,Training,58.0,3.0,5.172413793103448,0.7820042493461135,31.27296771990844,50.62890421057767,5.915812262900684,0.9181479379485404,23.37967756410952,28.16508186551805,3.728915085029966,17.40958424666695,25.23997794674931,44.36956062020862,36.96698070669374,,,,,,,,,,,,,,,,,
2025-09-30 22:10:09,Hvap,(kJ,Test,15.0,1.0,6.666666666666667,0.7198365814167603,3.156619489353084,3.63856502850958,8.692518336554786,0.7172484127916725,3.045204437589527,3.549070482297918,8.102891941354414,-0.3595494716306113,3.529568645804388,2.4596110145191057,6.783148132352,,,,,,,,,,,,,,,,,
2025-09-30 22:10:10,Hvap,(kJ,Training,60.0,3.0,5.0,0.4857935568818781,3.2614852785510497,5.202414267678426,8.758016479691697,0.6734840881114738,2.7035717045294443,3.961062683035304,6.821366608345085,38.63586261503939,17.10611964710338,23.8610675884732,22.112882247223027,,,,,,,,,,,,,,,,,
2025-09-30 22:10:12,(CRC),,Test,693.0,35.0,5.05050505050505,0.8528875626776451,0.4442373737811635,0.713372911075662,inf,0.8718657870975544,0.4270534900364972,0.6714005182229243,31.02938322807423,2.2251730767801354,3.8681760605606574,5.883653864771716,,,,,,,,,,,,,,,,,,
2025-09-30 22:10:13,(CRC),,Training,2770.0,139.0,5.018050541516246,0.8723518214935102,0.4543115341841051,0.6949271051923332,inf,0.880675595512183,0.4382947585020109,0.6783228214083235,33.39313365101717,0.9541762639323744,3.525504962329124,2.3893561871376816,,,,,,,,,,,,,,,,,,
2025-10-13 23:54:51,Tb,K,Test,193.0,10.0,5.181347150259067,0.6347763410548111,30.29860990244785,43.38741076233057,6.775265544291607,0.7555843095202769,25.267148835519613,31.68792099879573,5.432355789823959,19.03158020425251,16.606243927124012,26.96517159694734,19.82076932171457,,,,,,,,,,,,,,,,,
2025-10-13 23:54:52,Tb,K,Training,771.0,39.0,5.058365758754864,0.6447290176113665,32.527126234466714,46.97420204416833,7.086573432775062,0.7735539584084126,27.516670046957408,34.412573710721816,5.67046159671178,19.981253717154694,15.403931326094453,26.741547033912827,19.98302634548077,,,,,,,,,,,,,,,,,
